
=== PEPE ===
2025-02-01 → 👍 732  👎 585  📊 1317  👍比: 55.58%  👎比: 44.42%  多數: up | 真實: down ❌
2025-03-31 → 👍 303  👎 147  📊 450  👍比: 67.33%  👎比: 32.67%  多數: up | 真實: up ✅
2025-04-01 → 👍 181  👎 176  📊 357  👍比: 50.70%  👎比: 49.30%  多數: up | 真實: up ✅
2025-04-02 → 👍 828  👎 741  📊 1569  👍比: 52.77%  👎比: 47.23%  多數: up | 真實: up ✅
2025-04-03 → 👍 718  👎 637  📊 1355  👍比: 52.99%  👎比: 47.01%  多數: up | 真實: down ❌
2025-04-04 → 👍 822  👎 786  📊 1608  👍比: 51.12%  👎比: 48.88%  多數: up | 真實: up ✅
2025-04-05 → 👍 736  👎 648  📊 1384  👍比: 53.18%  👎比: 46.82%  多數: up | 真實: down ❌
2025-04-06 → 👍 997  👎 832  📊 1829  👍比: 54.51%  👎比: 45.49%  多數: up | 真實: down ❌
2025-04-07 → 👍 371  👎 352  📊 723  👍比: 51.31%  👎比: 48.69%  多數: up | 真實: down ❌
2025-04-08 → 👍 730  👎 662  📊 1392  👍比: 52.44%  👎比: 47.56%  多數: up | 真實: down ❌
2025-04-09 → 👍 914  👎 878  📊 1792  👍比: 51.00%  👎比: 49.00%  多數: up | 真實: up ✅
2025-04-10 → 👍 813  👎 775  📊 1588  👍比: 51.20%  👎比: 48.80%  多數: up | 真實: down ❌
2025-04-11 → 👍 801  👎 762  📊 1563  👍比: 51.25%  👎比: 48.75%  多數: up | 真實: up ✅
2025-04-12 → 👍 2603  👎 2174  📊 4777  👍比: 54.49%  👎比: 45.51%  多數: up | 真實: up ✅
2025-04-13 → 👍 1279  👎 1114  📊 2393  👍比: 53.45%  👎比: 46.55%  多數: up | 真實: up ✅
2025-04-14 → 👍 2392  👎 2156  📊 4548  👍比: 52.59%  👎比: 47.41%  多數: up | 真實: down ❌
2025-04-15 → 👍 2028  👎 1869  📊 3897  👍比: 52.04%  👎比: 47.96%  多數: up | 真實: down ❌
2025-04-16 → 👍 2215  👎 1955  📊 4170  👍比: 53.12%  👎比: 46.88%  多數: up | 真實: up ✅
2025-04-17 → 👍 2228  👎 2056  📊 4284  👍比: 52.01%  👎比: 47.99%  多數: up | 真實: down ❌
2025-04-18 → 👍 2208  👎 2001  📊 4209  👍比: 52.46%  👎比: 47.54%  多數: up | 真實: up ✅
2025-04-19 → 👍 1920  👎 1660  📊 3580  👍比: 53.63%  👎比: 46.37%  多數: up | 真實: up ✅
2025-04-20 → 👍 1710  👎 1524  📊 3234  👍比: 52.88%  👎比: 47.12%  多數: up | 真實: down ❌
2025-04-21 → 👍 2065  👎 1897  📊 3962  👍比: 52.12%  👎比: 47.88%  多數: up | 真實: down ❌
2025-04-22 → 👍 409  👎 414  📊 823  👍比: 49.70%  👎比: 50.30%  多數: down | 真實: up ❌
2025-04-23 → 👍 2822  👎 2464  📊 5286  👍比: 53.39%  👎比: 46.61%  多數: up | 真實: up ✅
2025-04-24 → 👍 1471  👎 468  📊 1939  👍比: 75.86%  👎比: 24.14%  多數: up | 真實: up ✅
2025-04-25 → 👍 975  👎 335  📊 1310  👍比: 74.43%  👎比: 25.57%  多數: up | 真實: up ✅
2025-04-26 → 👍 71  👎 48  📊 119  👍比: 59.66%  👎比: 40.34%  多數: up | 真實: up ✅
2025-04-27 → 👍 191  👎 181  📊 372  👍比: 51.34%  👎比: 48.66%  多數: up | 真實: up ✅
2025-04-28 → 👍 1060  👎 458  📊 1518  👍比: 69.83%  👎比: 30.17%  多數: up | 真實: up ✅
2025-04-29 → 👍 2049  👎 1873  📊 3922  👍比: 52.24%  👎比: 47.76%  多數: up | 真實: down ❌
2025-05-01 → 👍 3182  👎 2813  📊 5995  👍比: 53.08%  👎比: 46.92%  多數: up | 真實: up ✅
2025-05-02 → 👍 1404  👎 1275  📊 2679  👍比: 52.41%  👎比: 47.59%  多數: up | 真實: up ✅
2025-05-03 → 👍 3690  👎 1766  📊 5456  👍比: 67.63%  👎比: 32.37%  多數: up | 真實: down ❌
2025-05-04 → 👍 765  👎 682  📊 1447  👍比: 52.87%  👎比: 47.13%  多數: up | 真實: up ✅
2025-05-05 → 👍 2136  👎 2036  📊 4172  👍比: 51.20%  👎比: 48.80%  多數: up | 真實: up ✅
2025-05-06 → 👍 2258  👎 2012  📊 4270  👍比: 52.88%  👎比: 47.12%  多數: up | 真實: up ✅
2025-05-07 → 👍 705  👎 617  📊 1322  👍比: 53.33%  👎比: 46.67%  多數: up | 真實: up ✅
2025-05-08 → 👍 1506  👎 1343  📊 2849  👍比: 52.86%  👎比: 47.14%  多數: up | 真實: up ✅
2025-05-09 → 👍 3836  👎 3444  📊 7280  👍比: 52.69%  👎比: 47.31%  多數: up | 真實: up ✅
2025-05-10 → 👍 1570  👎 1424  📊 2994  👍比: 52.44%  👎比: 47.56%  多數: up | 真實: down ❌
2025-05-11 → 👍 2003  👎 573  📊 2576  👍比: 77.76%  👎比: 22.24%  多數: up | 真實: down ❌
2025-05-12 → 👍 472  👎 388  📊 860  👍比: 54.88%  👎比: 45.12%  多數: up | 真實: up ✅
2025-05-13 → 👍 3090  👎 899  📊 3989  👍比: 77.46%  👎比: 22.54%  多數: up | 真實: up ✅
2025-05-14 → 👍 612  👎 158  📊 770  👍比: 79.48%  👎比: 20.52%  多數: up | 真實: down ❌
2025-05-15 → 👍 255  👎 202  📊 457  👍比: 55.80%  👎比: 44.20%  多數: up | 真實: down ❌
2025-05-16 → 👍 304  👎 300  📊 604  👍比: 50.33%  👎比: 49.67%  多數: up | 真實: up ✅
2025-05-17 → 👍 1277  👎 1166  📊 2443  👍比: 52.27%  👎比: 47.73%  多數: up | 真實: down ❌
2025-05-18 → 👍 2627  👎 2353  📊 4980  👍比: 52.75%  👎比: 47.25%  多數: up | 真實: up ✅
2025-05-19 → 👍 122  👎 111  📊 233  👍比: 52.36%  👎比: 47.64%  多數: up | 真實: down ❌
2025-05-20 → 👍 97  👎 99  📊 196  👍比: 49.49%  👎比: 50.51%  多數: down | 真實: up ❌
2025-05-21 → 👍 3005  👎 2753  📊 5758  👍比: 52.19%  👎比: 47.81%  多數: up | 真實: down ❌
2025-05-22 → 👍 1028  👎 927  📊 1955  👍比: 52.58%  👎比: 47.42%  多數: up | 真實: up ✅
2025-05-23 → 👍 1575  👎 467  📊 2042  👍比: 77.13%  👎比: 22.87%  多數: up | 真實: down ❌
2025-05-24 → 👍 2331  👎 2200  📊 4531  👍比: 51.45%  👎比: 48.55%  多數: up | 真實: down ❌
2025-05-25 → 👍 3564  👎 1420  📊 4984  👍比: 71.51%  👎比: 28.49%  多數: up | 真實: down ❌
2025-05-26 → 👍 3227  👎 1259  📊 4486  👍比: 71.93%  👎比: 28.07%  多數: up | 真實: up ✅
2025-05-27 → 👍 2982  👎 2724  📊 5706  👍比: 52.26%  👎比: 47.74%  多數: up | 真實: up ✅
2025-05-28 → 👍 3059  👎 2699  📊 5758  👍比: 53.13%  👎比: 46.87%  多數: up | 真實: down ❌
2025-05-29 → 👍 4260  👎 3771  📊 8031  👍比: 53.04%  👎比: 46.96%  多數: up | 真實: down ❌
2025-05-30 → 👍 165  👎 152  📊 317  👍比: 52.05%  👎比: 47.95%  多數: up | 真實: up ✅
2025-05-31 → 👍 2563  👎 1210  📊 3773  👍比: 67.93%  👎比: 32.07%  多數: up | 真實: up ✅
2025-06-01 → 👍 1957  👎 1873  📊 3830  👍比: 51.10%  👎比: 48.90%  多數: up | 真實: up ✅
2025-06-02 → 👍 2972  👎 2703  📊 5675  👍比: 52.37%  👎比: 47.63%  多數: up | 真實: down ❌
2025-06-03 → 👍 4384  👎 2106  📊 6490  👍比: 67.55%  👎比: 32.45%  多數: up | 真實: down ❌
2025-06-04 → 👍 1696  👎 1566  📊 3262  👍比: 51.99%  👎比: 48.01%  多數: up | 真實: up ✅
2025-06-05 → 👍 151  👎 143  📊 294  👍比: 51.36%  👎比: 48.64%  多數: up | 真實: up ✅
2025-06-06 → 👍 2721  👎 1095  📊 3816  👍比: 71.31%  👎比: 28.69%  多數: up | 真實: up ✅
2025-06-07 → 👍 1667  👎 1512  📊 3179  👍比: 52.44%  👎比: 47.56%  多數: up | 真實: down ❌
2025-06-08 → 👍 2917  👎 2595  📊 5512  👍比: 52.92%  👎比: 47.08%  多數: up | 真實: up ✅
2025-06-09 → 👍 4119  👎 1736  📊 5855  👍比: 70.35%  👎比: 29.65%  多數: up | 真實: up ✅
2025-06-10 → 👍 3898  👎 1786  📊 5684  👍比: 68.58%  👎比: 31.42%  多數: up | 真實: down ❌
2025-06-11 → 👍 3243  👎 2929  📊 6172  👍比: 52.54%  👎比: 47.46%  多數: up | 真實: up ✅
2025-06-12 → 👍 895  👎 776  📊 1671  👍比: 53.56%  👎比: 46.44%  多數: up | 真實: up ✅
2025-06-13 → 👍 5043  👎 4482  📊 9525  👍比: 52.94%  👎比: 47.06%  多數: up | 真實: up ✅
2025-06-14 → 👍 753  👎 584  📊 1337  👍比: 56.32%  👎比: 43.68%  多數: up | 真實: up ✅
2025-06-15 → 👍 2993  👎 2754  📊 5747  👍比: 52.08%  👎比: 47.92%  多數: up | 真實: up ✅
2025-06-16 → 👍 55  👎 41  📊 96  👍比: 57.29%  👎比: 42.71%  多數: up | 真實: up ✅
2025-06-17 → 👍 315  👎 313  📊 628  👍比: 50.16%  👎比: 49.84%  多數: up | 真實: down ❌
2025-06-18 → 👍 760  👎 655  📊 1415  👍比: 53.71%  👎比: 46.29%  多數: up | 真實: down ❌
2025-06-19 → 👍 1289  👎 644  📊 1933  👍比: 66.68%  👎比: 33.32%  多數: up | 真實: down ❌
2025-06-20 → 👍 2859  👎 2506  📊 5365  👍比: 53.29%  👎比: 46.71%  多數: up | 真實: down ❌
2025-06-21 → 👍 2864  👎 2573  📊 5437  👍比: 52.68%  👎比: 47.32%  多數: up | 真實: up ✅
2025-06-22 → 👍 905  👎 789  📊 1694  👍比: 53.42%  👎比: 46.58%  多數: up | 真實: up ✅
2025-06-23 → 👍 26  👎 31  📊 57  👍比: 45.61%  👎比: 54.39%  多數: down | 真實: down ✅
2025-06-24 → 👍 462  👎 367  📊 829  👍比: 55.73%  👎比: 44.27%  多數: up | 真實: down ❌
2025-06-25 → 👍 136  👎 121  📊 257  👍比: 52.92%  👎比: 47.08%  多數: up | 真實: down ❌
2025-06-26 → 👍 2075  👎 1859  📊 3934  👍比: 52.75%  👎比: 47.25%  多數: up | 真實: down ❌
2025-06-27 → 👍 3766  👎 3410  📊 7176  👍比: 52.48%  👎比: 47.52%  多數: up | 真實: up ✅
2025-06-28 → 👍 2054  👎 1888  📊 3942  👍比: 52.11%  👎比: 47.89%  多數: up | 真實: down ❌
2025-06-29 → 👍 1764  👎 457  📊 2221  👍比: 79.42%  👎比: 20.58%  多數: up | 真實: up ✅
2025-07-01 → 👍 5865  👎 5336  📊 11201  👍比: 52.36%  👎比: 47.64%  多數: up | 真實: up ✅
2025-07-02 → 👍 8053  👎 7122  📊 15175  👍比: 53.07%  👎比: 46.93%  多數: up | 真實: up ✅
2025-07-03 → 👍 2163  👎 1937  📊 4100  👍比: 52.76%  👎比: 47.24%  多數: up | 真實: down ❌
2025-07-04 → 👍 7624  👎 6880  📊 14504  👍比: 52.56%  👎比: 47.44%  多數: up | 真實: up ✅
2025-07-05 → 👍 4915  👎 4399  📊 9314  👍比: 52.77%  👎比: 47.23%  多數: up | 真實: up ✅
2025-07-06 → 👍 2229  👎 1992  📊 4221  👍比: 52.81%  👎比: 47.19%  多數: up | 真實: up ✅
2025-07-07 → 👍 388  👎 347  📊 735  👍比: 52.79%  👎比: 47.21%  多數: up | 真實: up ✅
2025-07-08 → 👍 1570  👎 1407  📊 2977  👍比: 52.74%  👎比: 47.26%  多數: up | 真實: up ✅
2025-07-09 → 👍 2925  👎 2596  📊 5521  👍比: 52.98%  👎比: 47.02%  多數: up | 真實: down ❌
2025-07-10 → 👍 4366  👎 3866  📊 8232  👍比: 53.04%  👎比: 46.96%  多數: up | 真實: up ✅
2025-07-11 → 👍 5608  👎 5218  📊 10826  👍比: 51.80%  👎比: 48.20%  多數: up | 真實: down ❌
2025-07-12 → 👍 1809  👎 540  📊 2349  👍比: 77.01%  👎比: 22.99%  多數: up | 真實: down ❌
2025-07-13 → 👍 4943  👎 1540  📊 6483  👍比: 76.25%  👎比: 23.75%  多數: up | 真實: up ✅
2025-07-14 → 👍 1121  👎 1037  📊 2158  👍比: 51.95%  👎比: 48.05%  多數: up | 真實: down ❌
2025-07-15 → 👍 2848  👎 2531  📊 5379  👍比: 52.95%  👎比: 47.05%  多數: up | 真實: down ❌
2025-07-16 → 👍 3831  👎 3517  📊 7348  👍比: 52.14%  👎比: 47.86%  多數: up | 真實: down ❌
2025-07-17 → 👍 4042  👎 1461  📊 5503  👍比: 73.45%  👎比: 26.55%  多數: up | 真實: down ❌
2025-07-18 → 👍 2643  👎 2502  📊 5145  👍比: 51.37%  👎比: 48.63%  多數: up | 真實: up ✅
2025-07-19 → 👍 3598  👎 1406  📊 5004  👍比: 71.90%  👎比: 28.10%  多數: up | 真實: up ✅
2025-07-20 → 👍 5283  👎 1844  📊 7127  👍比: 74.13%  👎比: 25.87%  多數: up | 真實: up ✅
2025-07-21 → 👍 3312  👎 2896  📊 6208  👍比: 53.35%  👎比: 46.65%  多數: up | 真實: up ✅
2025-07-22 → 👍 3156  👎 2730  📊 5886  👍比: 53.62%  👎比: 46.38%  多數: up | 真實: up ✅
2025-07-23 → 👍 2572  👎 2314  📊 4886  👍比: 52.64%  👎比: 47.36%  多數: up | 真實: up ✅
2025-07-25 → 👍 457  👎 415  📊 872  👍比: 52.41%  👎比: 47.59%  多數: up | 真實: up ✅
2025-07-26 → 👍 1288  👎 1163  📊 2451  👍比: 52.55%  👎比: 47.45%  多數: up | 真實: down ❌
2025-07-27 → 👍 1695  👎 1473  📊 3168  👍比: 53.50%  👎比: 46.50%  多數: up | 真實: up ✅
2025-07-28 → 👍 1762  👎 1619  📊 3381  👍比: 52.11%  👎比: 47.89%  多數: up | 真實: down ❌
2025-07-29 → 👍 2379  👎 2178  📊 4557  👍比: 52.21%  👎比: 47.79%  多數: up | 真實: up ✅
2025-07-30 → 👍 252  👎 178  📊 430  👍比: 58.60%  👎比: 41.40%  多數: up | 真實: up ✅
2025-07-31 → 👍 388  👎 317  📊 705  👍比: 55.04%  👎比: 44.96%  多數: up | 真實: up ✅

=== DOGE ===
2013-12-15 → 👍 124  👎 115  📊 239  👍比: 51.88%  👎比: 48.12%  多數: up | 真實: up ✅
2013-12-16 → 👍 283  👎 234  📊 517  👍比: 54.74%  👎比: 45.26%  多數: up | 真實: down ❌
2013-12-17 → 👍 303  👎 192  📊 495  👍比: 61.21%  👎比: 38.79%  多數: up | 真實: down ❌
2013-12-18 → 👍 346  👎 294  📊 640  👍比: 54.06%  👎比: 45.94%  多數: up | 真實: down ❌
2013-12-19 → 👍 458  👎 495  📊 953  👍比: 48.06%  👎比: 51.94%  多數: down | 真實: down ✅
2013-12-20 → 👍 439  👎 370  📊 809  👍比: 54.26%  👎比: 45.74%  多數: up | 真實: down ❌
2013-12-21 → 👍 262  👎 229  📊 491  👍比: 53.36%  👎比: 46.64%  多數: up | 真實: down ❌
2013-12-22 → 👍 325  👎 295  📊 620  👍比: 52.42%  👎比: 47.58%  多數: up | 真實: down ❌
2013-12-23 → 👍 242  👎 480  📊 722  👍比: 33.52%  👎比: 66.48%  多數: down | 真實: up ❌
2013-12-24 → 👍 190  👎 176  📊 366  👍比: 51.91%  👎比: 48.09%  多數: up | 真實: up ✅
2013-12-25 → 👍 148  👎 159  📊 307  👍比: 48.21%  👎比: 51.79%  多數: down | 真實: up ❌
2013-12-26 → 👍 1024  👎 919  📊 1943  👍比: 52.70%  👎比: 47.30%  多數: up | 真實: down ❌
2013-12-27 → 👍 446  👎 392  📊 838  👍比: 53.22%  👎比: 46.78%  多數: up | 真實: down ❌
2013-12-28 → 👍 210  👎 203  📊 413  👍比: 50.85%  👎比: 49.15%  多數: up | 真實: down ❌
2013-12-29 → 👍 249  👎 244  📊 493  👍比: 50.51%  👎比: 49.49%  多數: up | 真實: up ✅
2013-12-30 → 👍 221  👎 186  📊 407  👍比: 54.30%  👎比: 45.70%  多數: up | 真實: up ✅
2013-12-31 → 👍 108  👎 150  📊 258  👍比: 41.86%  👎比: 58.14%  多數: down | 真實: down ✅
2014-01-01 → 👍 137  👎 116  📊 253  👍比: 54.15%  👎比: 45.85%  多數: up | 真實: down ❌
2014-01-02 → 👍 243  👎 221  📊 464  👍比: 52.37%  👎比: 47.63%  多數: up | 真實: down ❌
2014-01-03 → 👍 216  👎 210  📊 426  👍比: 50.70%  👎比: 49.30%  多數: up | 真實: up ✅
2014-01-04 → 👍 149  👎 112  📊 261  👍比: 57.09%  👎比: 42.91%  多數: up | 真實: down ❌
2014-01-05 → 👍 107  👎 98  📊 205  👍比: 52.20%  👎比: 47.80%  多數: up | 真實: down ❌
2014-01-06 → 👍 128  👎 120  📊 248  👍比: 51.61%  👎比: 48.39%  多數: up | 真實: down ❌
2014-01-07 → 👍 116  👎 106  📊 222  👍比: 52.25%  👎比: 47.75%  多數: up | 真實: down ❌
2014-01-08 → 👍 122  👎 107  📊 229  👍比: 53.28%  👎比: 46.72%  多數: up | 真實: down ❌
2014-01-09 → 👍 132  👎 111  📊 243  👍比: 54.32%  👎比: 45.68%  多數: up | 真實: down ❌
2014-01-10 → 👍 99  👎 141  📊 240  👍比: 41.25%  👎比: 58.75%  多數: down | 真實: up ❌
2014-01-11 → 👍 131  👎 116  📊 247  👍比: 53.04%  👎比: 46.96%  多數: up | 真實: down ❌
2014-01-12 → 👍 97  👎 83  📊 180  👍比: 53.89%  👎比: 46.11%  多數: up | 真實: down ❌
2014-01-13 → 👍 102  👎 111  📊 213  👍比: 47.89%  👎比: 52.11%  多數: down | 真實: down ✅
2014-01-14 → 👍 283  👎 233  📊 516  👍比: 54.84%  👎比: 45.16%  多數: up | 真實: down ❌
2014-01-15 → 👍 289  👎 245  📊 534  👍比: 54.12%  👎比: 45.88%  多數: up | 真實: up ✅
2014-01-16 → 👍 162  👎 133  📊 295  👍比: 54.92%  👎比: 45.08%  多數: up | 真實: down ❌
2014-01-17 → 👍 223  👎 217  📊 440  👍比: 50.68%  👎比: 49.32%  多數: up | 真實: down ❌
2014-01-18 → 👍 208  👎 185  📊 393  👍比: 52.93%  👎比: 47.07%  多數: up | 真實: up ✅
2014-01-19 → 👍 248  👎 213  📊 461  👍比: 53.80%  👎比: 46.20%  多數: up | 真實: up ✅
2014-01-20 → 👍 1130  👎 1037  📊 2167  👍比: 52.15%  👎比: 47.85%  多數: up | 真實: up ✅
2014-01-21 → 👍 1019  👎 484  📊 1503  👍比: 67.80%  👎比: 32.20%  多數: up | 真實: down ❌
2014-01-22 → 👍 390  👎 372  📊 762  👍比: 51.18%  👎比: 48.82%  多數: up | 真實: up ✅
2014-01-23 → 👍 355  👎 289  📊 644  👍比: 55.12%  👎比: 44.88%  多數: up | 真實: up ✅
2014-01-24 → 👍 411  👎 365  📊 776  👍比: 52.96%  👎比: 47.04%  多數: up | 真實: up ✅
2014-01-25 → 👍 202  👎 183  📊 385  👍比: 52.47%  👎比: 47.53%  多數: up | 真實: up ✅
2014-01-26 → 👍 59  👎 54  📊 113  👍比: 52.21%  👎比: 47.79%  多數: up | 真實: up ✅
2014-01-27 → 👍 14  👎 13  📊 27  👍比: 51.85%  👎比: 48.15%  多數: up | 真實: down ❌
2014-01-28 → 👍 81  👎 82  📊 163  👍比: 49.69%  👎比: 50.31%  多數: down | 真實: up ❌
2014-01-29 → 👍 38  👎 26  📊 64  👍比: 59.38%  👎比: 40.62%  多數: up | 真實: up ✅
2014-01-30 → 👍 15  👎 13  📊 28  👍比: 53.57%  👎比: 46.43%  多數: up | 真實: down ❌
2014-01-31 → 👍 21  👎 22  📊 43  👍比: 48.84%  👎比: 51.16%  多數: down | 真實: down ✅
2014-02-01 → 👍 702  👎 599  📊 1301  👍比: 53.96%  👎比: 46.04%  多數: up | 真實: up ✅
2014-02-02 → 👍 382  👎 372  📊 754  👍比: 50.66%  👎比: 49.34%  多數: up | 真實: down ❌
2014-02-03 → 👍 242  👎 463  📊 705  👍比: 34.33%  👎比: 65.67%  多數: down | 真實: down ✅
2014-02-04 → 👍 458  👎 447  📊 905  👍比: 50.61%  👎比: 49.39%  多數: up | 真實: down ❌
2014-02-05 → 👍 440  👎 357  📊 797  👍比: 55.21%  👎比: 44.79%  多數: up | 真實: up ✅
2014-02-06 → 👍 392  👎 342  📊 734  👍比: 53.41%  👎比: 46.59%  多數: up | 真實: down ❌
2014-02-07 → 👍 420  👎 589  📊 1009  👍比: 41.63%  👎比: 58.37%  多數: down | 真實: up ❌
2014-02-08 → 👍 373  👎 293  📊 666  👍比: 56.01%  👎比: 43.99%  多數: up | 真實: up ✅
