
=== PEPE ===
2025-02-01 → 👍 747  👎 570  📊 1317  👍比: 56.72%  👎比: 43.28%  多數: up | 真實: up ✅
2025-03-17 → 👍 4802  👎 3862  📊 8664  👍比: 55.42%  👎比: 44.58%  多數: up | 真實: up ✅
2025-03-18 → 👍 269  👎 244  📊 513  👍比: 52.44%  👎比: 47.56%  多數: up | 真實: down ❌
2025-03-19 → 👍 1287  👎 454  📊 1741  👍比: 73.92%  👎比: 26.08%  多數: up | 真實: up ✅
2025-03-20 → 👍 4248  👎 1286  📊 5534  👍比: 76.76%  👎比: 23.24%  多數: up | 真實: up ✅
2025-03-21 → 👍 1694  👎 1288  📊 2982  👍比: 56.81%  👎比: 43.19%  多數: up | 真實: down ❌
2025-03-22 → 👍 268  👎 233  📊 501  👍比: 53.49%  👎比: 46.51%  多數: up | 真實: down ❌
2025-03-23 → 👍 3035  👎 925  📊 3960  👍比: 76.64%  👎比: 23.36%  多數: up | 真實: up ✅
2025-03-24 → 👍 316  👎 238  📊 554  👍比: 57.04%  👎比: 42.96%  多數: up | 真實: down ❌
2025-03-25 → 👍 1213  👎 1037  📊 2250  👍比: 53.91%  👎比: 46.09%  多數: up | 真實: up ✅
2025-03-26 → 👍 3584  👎 2975  📊 6559  👍比: 54.64%  👎比: 45.36%  多數: up | 真實: down ❌
2025-03-27 → 👍 3292  👎 2764  📊 6056  👍比: 54.36%  👎比: 45.64%  多數: up | 真實: down ❌
2025-03-28 → 👍 3045  👎 2388  📊 5433  👍比: 56.05%  👎比: 43.95%  多數: up | 真實: up ✅
2025-03-29 → 👍 84  👎 73  📊 157  👍比: 53.50%  👎比: 46.50%  多數: up | 真實: up ✅
2025-03-31 → 👍 319  👎 131  📊 450  👍比: 70.89%  👎比: 29.11%  多數: up | 真實: up ✅
2025-04-01 → 👍 203  👎 154  📊 357  👍比: 56.86%  👎比: 43.14%  多數: up | 真實: up ✅
2025-04-02 → 👍 860  👎 709  📊 1569  👍比: 54.81%  👎比: 45.19%  多數: up | 真實: up ✅
2025-04-03 → 👍 764  👎 591  📊 1355  👍比: 56.38%  👎比: 43.62%  多數: up | 真實: down ❌
2025-04-04 → 👍 848  👎 760  📊 1608  👍比: 52.74%  👎比: 47.26%  多數: up | 真實: up ✅
2025-04-05 → 👍 759  👎 625  📊 1384  👍比: 54.84%  👎比: 45.16%  多數: up | 真實: down ❌
2025-04-06 → 👍 1038  👎 791  📊 1829  👍比: 56.75%  👎比: 43.25%  多數: up | 真實: down ❌
2025-04-07 → 👍 380  👎 343  📊 723  👍比: 52.56%  👎比: 47.44%  多數: up | 真實: down ❌
2025-04-08 → 👍 755  👎 637  📊 1392  👍比: 54.24%  👎比: 45.76%  多數: up | 真實: down ❌
2025-04-09 → 👍 983  👎 809  📊 1792  👍比: 54.85%  👎比: 45.15%  多數: up | 真實: down ❌
2025-04-10 → 👍 860  👎 728  📊 1588  👍比: 54.16%  👎比: 45.84%  多數: up | 真實: up ✅
2025-04-11 → 👍 857  👎 706  📊 1563  👍比: 54.83%  👎比: 45.17%  多數: up | 真實: up ✅
2025-04-12 → 👍 2666  👎 2111  📊 4777  👍比: 55.81%  👎比: 44.19%  多數: up | 真實: up ✅
2025-04-13 → 👍 1337  👎 1056  📊 2393  👍比: 55.87%  👎比: 44.13%  多數: up | 真實: up ✅
2025-04-14 → 👍 2478  👎 2070  📊 4548  👍比: 54.49%  👎比: 45.51%  多數: up | 真實: up ✅
2025-04-15 → 👍 2087  👎 1810  📊 3897  👍比: 53.55%  👎比: 46.45%  多數: up | 真實: down ❌
2025-04-16 → 👍 2328  👎 1842  📊 4170  👍比: 55.83%  👎比: 44.17%  多數: up | 真實: up ✅
2025-04-17 → 👍 2330  👎 1954  📊 4284  👍比: 54.39%  👎比: 45.61%  多數: up | 真實: up ✅
2025-04-18 → 👍 2358  👎 1851  📊 4209  👍比: 56.02%  👎比: 43.98%  多數: up | 真實: up ✅
2025-04-19 → 👍 2003  👎 1577  📊 3580  👍比: 55.95%  👎比: 44.05%  多數: up | 真實: up ✅
2025-04-20 → 👍 1758  👎 1476  📊 3234  👍比: 54.36%  👎比: 45.64%  多數: up | 真實: down ❌
2025-04-21 → 👍 2172  👎 1790  📊 3962  👍比: 54.82%  👎比: 45.18%  多數: up | 真實: down ❌
2025-04-22 → 👍 431  👎 392  📊 823  👍比: 52.37%  👎比: 47.63%  多數: up | 真實: down ❌
2025-04-23 → 👍 2956  👎 2330  📊 5286  👍比: 55.92%  👎比: 44.08%  多數: up | 真實: down ❌
2025-04-24 → 👍 1624  👎 315  📊 1939  👍比: 83.75%  👎比: 16.25%  多數: up | 真實: down ❌
2025-04-25 → 👍 1094  👎 216  📊 1310  👍比: 83.51%  👎比: 16.49%  多數: up | 真實: up ✅
2025-04-26 → 👍 71  👎 48  📊 119  👍比: 59.66%  👎比: 40.34%  多數: up | 真實: up ✅
2025-04-27 → 👍 217  👎 155  📊 372  👍比: 58.33%  👎比: 41.67%  多數: up | 真實: up ✅
2025-04-28 → 👍 1157  👎 361  📊 1518  👍比: 76.22%  👎比: 23.78%  多數: up | 真實: up ✅
2025-04-29 → 👍 2132  👎 1790  📊 3922  👍比: 54.36%  👎比: 45.64%  多數: up | 真實: down ❌
2025-05-01 → 👍 3291  👎 2704  📊 5995  👍比: 54.90%  👎比: 45.10%  多數: up | 真實: down ❌
2025-05-02 → 👍 1439  👎 1240  📊 2679  👍比: 53.71%  👎比: 46.29%  多數: up | 真實: up ✅
2025-05-03 → 👍 4034  👎 1422  📊 5456  👍比: 73.94%  👎比: 26.06%  多數: up | 真實: down ❌
2025-05-04 → 👍 784  👎 663  📊 1447  👍比: 54.18%  👎比: 45.82%  多數: up | 真實: up ✅
2025-05-05 → 👍 2228  👎 1944  📊 4172  👍比: 53.40%  👎比: 46.60%  多數: up | 真實: up ✅
2025-05-06 → 👍 2331  👎 1939  📊 4270  👍比: 54.59%  👎比: 45.41%  多數: up | 真實: up ✅
2025-05-07 → 👍 752  👎 570  📊 1322  👍比: 56.88%  👎比: 43.12%  多數: up | 真實: up ✅
2025-05-08 → 👍 1530  👎 1319  📊 2849  👍比: 53.70%  👎比: 46.30%  多數: up | 真實: up ✅
2025-05-09 → 👍 3974  👎 3306  📊 7280  👍比: 54.59%  👎比: 45.41%  多數: up | 真實: up ✅
2025-05-10 → 👍 1661  👎 1333  📊 2994  👍比: 55.48%  👎比: 44.52%  多數: up | 真實: down ❌
2025-05-11 → 👍 2203  👎 373  📊 2576  👍比: 85.52%  👎比: 14.48%  多數: up | 真實: down ❌
2025-05-12 → 👍 477  👎 383  📊 860  👍比: 55.47%  👎比: 44.53%  多數: up | 真實: up ✅
2025-05-13 → 👍 3508  👎 481  📊 3989  👍比: 87.94%  👎比: 12.06%  多數: up | 真實: up ✅
2025-05-14 → 👍 674  👎 96  📊 770  👍比: 87.53%  👎比: 12.47%  多數: up | 真實: down ❌
2025-05-15 → 👍 248  👎 209  📊 457  👍比: 54.27%  👎比: 45.73%  多數: up | 真實: down ❌
2025-05-16 → 👍 334  👎 270  📊 604  👍比: 55.30%  👎比: 44.70%  多數: up | 真實: up ✅
2025-05-17 → 👍 1337  👎 1106  📊 2443  👍比: 54.73%  👎比: 45.27%  多數: up | 真實: up ✅
2025-05-18 → 👍 2773  👎 2207  📊 4980  👍比: 55.68%  👎比: 44.32%  多數: up | 真實: up ✅
2025-05-19 → 👍 140  👎 93  📊 233  👍比: 60.09%  👎比: 39.91%  多數: up | 真實: down ❌
2025-05-20 → 👍 94  👎 102  📊 196  👍比: 47.96%  👎比: 52.04%  多數: down | 真實: up ❌
2025-05-21 → 👍 3169  👎 2589  📊 5758  👍比: 55.04%  👎比: 44.96%  多數: up | 真實: down ❌
2025-05-22 → 👍 1088  👎 867  📊 1955  👍比: 55.65%  👎比: 44.35%  多數: up | 真實: down ❌
2025-05-23 → 👍 1550  👎 492  📊 2042  👍比: 75.91%  👎比: 24.09%  多數: up | 真實: down ❌
2025-05-24 → 👍 2435  👎 2096  📊 4531  👍比: 53.74%  👎比: 46.26%  多數: up | 真實: up ✅
2025-05-25 → 👍 4041  👎 943  📊 4984  👍比: 81.08%  👎比: 18.92%  多數: up | 真實: down ❌
2025-05-26 → 👍 3706  👎 780  📊 4486  👍比: 82.61%  👎比: 17.39%  多數: up | 真實: up ✅
2025-05-27 → 👍 3103  👎 2603  📊 5706  👍比: 54.38%  👎比: 45.62%  多數: up | 真實: up ✅
2025-05-28 → 👍 3196  👎 2562  📊 5758  👍比: 55.51%  👎比: 44.49%  多數: up | 真實: up ✅
2025-05-29 → 👍 4416  👎 3615  📊 8031  👍比: 54.99%  👎比: 45.01%  多數: up | 真實: down ❌
2025-05-30 → 👍 184  👎 133  📊 317  👍比: 58.04%  👎比: 41.96%  多數: up | 真實: up ✅
2025-05-31 → 👍 2929  👎 844  📊 3773  👍比: 77.63%  👎比: 22.37%  多數: up | 真實: down ❌
2025-06-01 → 👍 2047  👎 1783  📊 3830  👍比: 53.45%  👎比: 46.55%  多數: up | 真實: up ✅
2025-06-02 → 👍 3099  👎 2576  📊 5675  👍比: 54.61%  👎比: 45.39%  多數: up | 真實: down ❌
2025-06-03 → 👍 4938  👎 1552  📊 6490  👍比: 76.09%  👎比: 23.91%  多數: up | 真實: down ❌
2025-06-04 → 👍 1797  👎 1465  📊 3262  👍比: 55.09%  👎比: 44.91%  多數: up | 真實: down ❌
2025-06-05 → 👍 150  👎 144  📊 294  👍比: 51.02%  👎比: 48.98%  多數: up | 真實: up ✅
2025-06-06 → 👍 3017  👎 799  📊 3816  👍比: 79.06%  👎比: 20.94%  多數: up | 真實: up ✅
2025-06-07 → 👍 1687  👎 1492  📊 3179  👍比: 53.07%  👎比: 46.93%  多數: up | 真實: down ❌
2025-06-08 → 👍 3033  👎 2479  📊 5512  👍比: 55.03%  👎比: 44.97%  多數: up | 真實: up ✅
2025-06-09 → 👍 4702  👎 1153  📊 5855  👍比: 80.31%  👎比: 19.69%  多數: up | 真實: up ✅
2025-06-10 → 👍 4384  👎 1300  📊 5684  👍比: 77.13%  👎比: 22.87%  多數: up | 真實: up ✅
2025-06-11 → 👍 3344  👎 2828  📊 6172  👍比: 54.18%  👎比: 45.82%  多數: up | 真實: up ✅
2025-06-12 → 👍 954  👎 717  📊 1671  👍比: 57.09%  👎比: 42.91%  多數: up | 真實: down ❌
2025-06-13 → 👍 5207  👎 4318  📊 9525  👍比: 54.67%  👎比: 45.33%  多數: up | 真實: up ✅
2025-06-14 → 👍 760  👎 577  📊 1337  👍比: 56.84%  👎比: 43.16%  多數: up | 真實: up ✅
2025-06-15 → 👍 3065  👎 2682  📊 5747  👍比: 53.33%  👎比: 46.67%  多數: up | 真實: up ✅
2025-06-16 → 👍 57  👎 39  📊 96  👍比: 59.38%  👎比: 40.62%  多數: up | 真實: up ✅
2025-06-17 → 👍 336  👎 292  📊 628  👍比: 53.50%  👎比: 46.50%  多數: up | 真實: down ❌
2025-06-18 → 👍 772  👎 643  📊 1415  👍比: 54.56%  👎比: 45.44%  多數: up | 真實: down ❌
2025-06-19 → 👍 1458  👎 475  📊 1933  👍比: 75.43%  👎比: 24.57%  多數: up | 真實: down ❌
2025-06-20 → 👍 2939  👎 2426  📊 5365  👍比: 54.78%  👎比: 45.22%  多數: up | 真實: up ✅
2025-06-21 → 👍 2964  👎 2473  📊 5437  👍比: 54.52%  👎比: 45.48%  多數: up | 真實: up ✅
2025-06-22 → 👍 923  👎 771  📊 1694  👍比: 54.49%  👎比: 45.51%  多數: up | 真實: up ✅
2025-06-23 → 👍 30  👎 27  📊 57  👍比: 52.63%  👎比: 47.37%  多數: up | 真實: down ❌
2025-06-24 → 👍 465  👎 364  📊 829  👍比: 56.09%  👎比: 43.91%  多數: up | 真實: down ❌
2025-06-25 → 👍 154  👎 103  📊 257  👍比: 59.92%  👎比: 40.08%  多數: up | 真實: down ❌
2025-06-26 → 👍 2175  👎 1759  📊 3934  👍比: 55.29%  👎比: 44.71%  多數: up | 真實: up ✅
2025-06-27 → 👍 3942  👎 3234  📊 7176  👍比: 54.93%  👎比: 45.07%  多數: up | 真實: up ✅
2025-06-28 → 👍 2171  👎 1771  📊 3942  👍比: 55.07%  👎比: 44.93%  多數: up | 真實: down ❌
2025-06-29 → 👍 1520  👎 701  📊 2221  👍比: 68.44%  👎比: 31.56%  多數: up | 真實: up ✅
2025-07-01 → 👍 6155  👎 5046  📊 11201  👍比: 54.95%  👎比: 45.05%  多數: up | 真實: down ❌
2025-07-02 → 👍 8357  👎 6818  📊 15175  👍比: 55.07%  👎比: 44.93%  多數: up | 真實: up ✅
2025-07-03 → 👍 2236  👎 1864  📊 4100  👍比: 54.54%  👎比: 45.46%  多數: up | 真實: down ❌
2025-07-04 → 👍 7958  👎 6546  📊 14504  👍比: 54.87%  👎比: 45.13%  多數: up | 真實: up ✅
2025-07-05 → 👍 5082  👎 4232  📊 9314  👍比: 54.56%  👎比: 45.44%  多數: up | 真實: down ❌
2025-07-06 → 👍 2292  👎 1929  📊 4221  👍比: 54.30%  👎比: 45.70%  多數: up | 真實: up ✅
2025-07-07 → 👍 397  👎 338  📊 735  👍比: 54.01%  👎比: 45.99%  多數: up | 真實: up ✅
2025-07-08 → 👍 1640  👎 1337  📊 2977  👍比: 55.09%  👎比: 44.91%  多數: up | 真實: up ✅
2025-07-09 → 👍 3033  👎 2488  📊 5521  👍比: 54.94%  👎比: 45.06%  多數: up | 真實: down ❌
2025-07-10 → 👍 4591  👎 3641  📊 8232  👍比: 55.77%  👎比: 44.23%  多數: up | 真實: up ✅
2025-07-11 → 👍 5834  👎 4992  📊 10826  👍比: 53.89%  👎比: 46.11%  多數: up | 真實: down ❌
2025-07-12 → 👍 2006  👎 343  📊 2349  👍比: 85.40%  👎比: 14.60%  多數: up | 真實: down ❌
2025-07-13 → 👍 5399  👎 1084  📊 6483  👍比: 83.28%  👎比: 16.72%  多數: up | 真實: up ✅
2025-07-14 → 👍 1187  👎 971  📊 2158  👍比: 55.00%  👎比: 45.00%  多數: up | 真實: down ❌
2025-07-15 → 👍 2946  👎 2433  📊 5379  👍比: 54.77%  👎比: 45.23%  多數: up | 真實: down ❌
2025-07-16 → 👍 4001  👎 3347  📊 7348  👍比: 54.45%  👎比: 45.55%  多數: up | 真實: down ❌
2025-07-17 → 👍 4458  👎 1045  📊 5503  👍比: 81.01%  👎比: 18.99%  多數: up | 真實: up ✅
2025-07-18 → 👍 2751  👎 2394  📊 5145  👍比: 53.47%  👎比: 46.53%  多數: up | 真實: up ✅
2025-07-19 → 👍 3925  👎 1079  📊 5004  👍比: 78.44%  👎比: 21.56%  多數: up | 真實: up ✅
2025-07-20 → 👍 5782  👎 1345  📊 7127  👍比: 81.13%  👎比: 18.87%  多數: up | 真實: up ✅
2025-07-21 → 👍 3445  👎 2763  📊 6208  👍比: 55.49%  👎比: 44.51%  多數: up | 真實: up ✅
2025-07-22 → 👍 3242  👎 2644  📊 5886  👍比: 55.08%  👎比: 44.92%  多數: up | 真實: up ✅
2025-07-23 → 👍 2728  👎 2158  📊 4886  👍比: 55.83%  👎比: 44.17%  多數: up | 真實: up ✅
2025-07-25 → 👍 474  👎 398  📊 872  👍比: 54.36%  👎比: 45.64%  多數: up | 真實: up ✅
2025-07-26 → 👍 1350  👎 1101  📊 2451  👍比: 55.08%  👎比: 44.92%  多數: up | 真實: down ❌
2025-07-27 → 👍 1782  👎 1386  📊 3168  👍比: 56.25%  👎比: 43.75%  多數: up | 真實: up ✅
2025-07-28 → 👍 1861  👎 1520  📊 3381  👍比: 55.04%  👎比: 44.96%  多數: up | 真實: down ❌
2025-07-29 → 👍 2488  👎 2069  📊 4557  👍比: 54.60%  👎比: 45.40%  多數: up | 真實: up ✅
2025-07-30 → 👍 254  👎 176  📊 430  👍比: 59.07%  👎比: 40.93%  多數: up | 真實: up ✅
2025-07-31 → 👍 403  👎 302  📊 705  👍比: 57.16%  👎比: 42.84%  多數: up | 真實: up ✅

=== DOGE ===
2013-12-15 → 👍 132  👎 107  📊 239  👍比: 55.23%  👎比: 44.77%  多數: up | 真實: up ✅
2013-12-16 → 👍 299  👎 218  📊 517  👍比: 57.83%  👎比: 42.17%  多數: up | 真實: down ❌
2013-12-17 → 👍 299  👎 196  📊 495  👍比: 60.40%  👎比: 39.60%  多數: up | 真實: down ❌
2013-12-18 → 👍 348  👎 292  📊 640  👍比: 54.37%  👎比: 45.62%  多數: up | 真實: down ❌
2013-12-19 → 👍 455  👎 498  📊 953  👍比: 47.74%  👎比: 52.26%  多數: down | 真實: up ❌
2013-12-20 → 👍 450  👎 359  📊 809  👍比: 55.62%  👎比: 44.38%  多數: up | 真實: up ✅
2013-12-21 → 👍 272  👎 219  📊 491  👍比: 55.40%  👎比: 44.60%  多數: up | 真實: up ✅
2013-12-22 → 👍 344  👎 276  📊 620  👍比: 55.48%  👎比: 44.52%  多數: up | 真實: up ✅
2013-12-23 → 👍 261  👎 461  📊 722  👍比: 36.15%  👎比: 63.85%  多數: down | 真實: up ❌
2013-12-24 → 👍 210  👎 156  📊 366  👍比: 57.38%  👎比: 42.62%  多數: up | 真實: up ✅
2013-12-25 → 👍 151  👎 156  📊 307  👍比: 49.19%  👎比: 50.81%  多數: down | 真實: up ❌
2013-12-26 → 👍 1060  👎 883  📊 1943  👍比: 54.55%  👎比: 45.45%  多數: up | 真實: down ❌
2013-12-27 → 👍 459  👎 379  📊 838  👍比: 54.77%  👎比: 45.23%  多數: up | 真實: down ❌
2013-12-28 → 👍 216  👎 197  📊 413  👍比: 52.30%  👎比: 47.70%  多數: up | 真實: down ❌
2013-12-29 → 👍 260  👎 233  📊 493  👍比: 52.74%  👎比: 47.26%  多數: up | 真實: up ✅
2013-12-30 → 👍 216  👎 191  📊 407  👍比: 53.07%  👎比: 46.93%  多數: up | 真實: up ✅
2013-12-31 → 👍 103  👎 155  📊 258  👍比: 39.92%  👎比: 60.08%  多數: down | 真實: down ✅
2014-01-01 → 👍 67  👎 186  📊 253  👍比: 26.48%  👎比: 73.52%  多數: down | 真實: down ✅
2014-01-02 → 👍 260  👎 204  📊 464  👍比: 56.03%  👎比: 43.97%  多數: up | 真實: down ❌
2014-01-03 → 👍 236  👎 190  📊 426  👍比: 55.40%  👎比: 44.60%  多數: up | 真實: up ✅
2014-01-04 → 👍 159  👎 102  📊 261  👍比: 60.92%  👎比: 39.08%  多數: up | 真實: down ❌
2014-01-05 → 👍 111  👎 94  📊 205  👍比: 54.15%  👎比: 45.85%  多數: up | 真實: down ❌
2014-01-06 → 👍 133  👎 115  📊 248  👍比: 53.63%  👎比: 46.37%  多數: up | 真實: up ✅
2014-01-07 → 👍 120  👎 102  📊 222  👍比: 54.05%  👎比: 45.95%  多數: up | 真實: down ❌
2014-01-08 → 👍 119  👎 110  📊 229  👍比: 51.97%  👎比: 48.03%  多數: up | 真實: down ❌
2014-01-09 → 👍 138  👎 105  📊 243  👍比: 56.79%  👎比: 43.21%  多數: up | 真實: up ✅
2014-01-10 → 👍 106  👎 134  📊 240  👍比: 44.17%  👎比: 55.83%  多數: down | 真實: up ❌
2014-01-11 → 👍 135  👎 112  📊 247  👍比: 54.66%  👎比: 45.34%  多數: up | 真實: up ✅
2014-01-12 → 👍 109  👎 71  📊 180  👍比: 60.56%  👎比: 39.44%  多數: up | 真實: down ❌
2014-01-13 → 👍 101  👎 112  📊 213  👍比: 47.42%  👎比: 52.58%  多數: down | 真實: down ✅
2014-01-14 → 👍 291  👎 225  📊 516  👍比: 56.40%  👎比: 43.60%  多數: up | 真實: down ❌
2014-01-15 → 👍 293  👎 241  📊 534  👍比: 54.87%  👎比: 45.13%  多數: up | 真實: up ✅
2014-01-16 → 👍 166  👎 129  📊 295  👍比: 56.27%  👎比: 43.73%  多數: up | 真實: down ❌
2014-01-17 → 👍 240  👎 200  📊 440  👍比: 54.55%  👎比: 45.45%  多數: up | 真實: up ✅
2014-01-18 → 👍 214  👎 179  📊 393  👍比: 54.45%  👎比: 45.55%  多數: up | 真實: up ✅
2014-01-19 → 👍 216  👎 245  📊 461  👍比: 46.85%  👎比: 53.15%  多數: down | 真實: up ❌
2014-01-20 → 👍 1172  👎 995  📊 2167  👍比: 54.08%  👎比: 45.92%  多數: up | 真實: up ✅
2014-01-21 → 👍 1040  👎 463  📊 1503  👍比: 69.19%  👎比: 30.81%  多數: up | 真實: down ❌
2014-01-22 → 👍 387  👎 375  📊 762  👍比: 50.79%  👎比: 49.21%  多數: up | 真實: up ✅
2014-01-23 → 👍 360  👎 284  📊 644  👍比: 55.90%  👎比: 44.10%  多數: up | 真實: up ✅
2014-01-24 → 👍 443  👎 333  📊 776  👍比: 57.09%  👎比: 42.91%  多數: up | 真實: up ✅
2014-01-25 → 👍 212  👎 173  📊 385  👍比: 55.06%  👎比: 44.94%  多數: up | 真實: up ✅
2014-01-26 → 👍 53  👎 60  📊 113  👍比: 46.90%  👎比: 53.10%  多數: down | 真實: up ❌
2014-01-27 → 👍 15  👎 12  📊 27  👍比: 55.56%  👎比: 44.44%  多數: up | 真實: down ❌
2014-01-28 → 👍 87  👎 76  📊 163  👍比: 53.37%  👎比: 46.63%  多數: up | 真實: up ✅
2014-01-29 → 👍 40  👎 24  📊 64  👍比: 62.50%  👎比: 37.50%  多數: up | 真實: up ✅
2014-01-30 → 👍 18  👎 10  📊 28  👍比: 64.29%  👎比: 35.71%  多數: up | 真實: down ❌
2014-01-31 → 👍 26  👎 17  📊 43  👍比: 60.47%  👎比: 39.53%  多數: up | 真實: down ❌
2014-02-01 → 👍 737  👎 564  📊 1301  👍比: 56.65%  👎比: 43.35%  多數: up | 真實: up ✅
2014-02-02 → 👍 414  👎 340  📊 754  👍比: 54.91%  👎比: 45.09%  多數: up | 真實: down ❌
2014-02-03 → 👍 256  👎 449  📊 705  👍比: 36.31%  👎比: 63.69%  多數: down | 真實: down ✅
2014-02-04 → 👍 476  👎 429  📊 905  👍比: 52.60%  👎比: 47.40%  多數: up | 真實: down ❌
2014-02-05 → 👍 442  👎 355  📊 797  👍比: 55.46%  👎比: 44.54%  多數: up | 真實: up ✅
2014-02-06 → 👍 392  👎 342  📊 734  👍比: 53.41%  👎比: 46.59%  多數: up | 真實: down ❌
2014-02-07 → 👍 511  👎 498  📊 1009  👍比: 50.64%  👎比: 49.36%  多數: up | 真實: up ✅
2014-02-08 → 👍 379  👎 287  📊 666  👍比: 56.91%  👎比: 43.09%  多數: up | 真實: up ✅
2014-02-09 → 👍 328  👎 278  📊 606  👍比: 54.13%  👎比: 45.87%  多數: up | 真實: up ✅
