
=== PEPE ===
2025-02-01 → 👍 1048  👎 269  📊 1317  👍比: 79.57%  👎比: 20.43%  多數: up | 真實: down ❌
2025-02-21 → 👍 397  👎 829  📊 1226  👍比: 32.38%  👎比: 67.62%  多數: down | 真實: down ✅
2025-02-22 → 👍 306  👎 94  📊 400  👍比: 76.50%  👎比: 23.50%  多數: up | 真實: up ✅
2025-02-23 → 👍 573  👎 140  📊 713  👍比: 80.36%  👎比: 19.64%  多數: up | 真實: up ✅
2025-02-24 → 👍 1575  👎 423  📊 1998  👍比: 78.83%  👎比: 21.17%  多數: up | 真實: up ✅
2025-02-25 → 👍 1663  👎 427  📊 2090  👍比: 79.57%  👎比: 20.43%  多數: up | 真實: down ❌
2025-02-26 → 👍 1598  👎 446  📊 2044  👍比: 78.18%  👎比: 21.82%  多數: up | 真實: down ❌
2025-02-27 → 👍 495  👎 1308  📊 1803  👍比: 27.45%  👎比: 72.55%  多數: down | 真實: down ✅
2025-02-28 → 👍 1593  👎 452  📊 2045  👍比: 77.90%  👎比: 22.10%  多數: up | 真實: up ✅
2025-03-01 → 👍 305  👎 897  📊 1202  👍比: 25.37%  👎比: 74.63%  多數: down | 真實: up ❌
2025-03-02 → 👍 889  👎 245  📊 1134  👍比: 78.40%  👎比: 21.60%  多數: up | 真實: down ❌
2025-03-03 → 👍 1525  👎 428  📊 1953  👍比: 78.08%  👎比: 21.92%  多數: up | 真實: up ✅
2025-03-04 → 👍 1503  👎 404  📊 1907  👍比: 78.81%  👎比: 21.19%  多數: up | 真實: down ❌
2025-03-05 → 👍 414  👎 109  📊 523  👍比: 79.16%  👎比: 20.84%  多數: up | 真實: down ❌
2025-03-06 → 👍 305  👎 97  📊 402  👍比: 75.87%  👎比: 24.13%  多數: up | 真實: up ✅
2025-03-07 → 👍 1431  👎 381  📊 1812  👍比: 78.97%  👎比: 21.03%  多數: up | 真實: down ❌
2025-03-08 → 👍 1239  👎 333  📊 1572  👍比: 78.82%  👎比: 21.18%  多數: up | 真實: up ✅
2025-03-09 → 👍 425  👎 1021  📊 1446  👍比: 29.39%  👎比: 70.61%  多數: down | 真實: down ✅
2025-03-10 → 👍 1131  👎 331  📊 1462  👍比: 77.36%  👎比: 22.64%  多數: up | 真實: down ❌
2025-03-11 → 👍 3117  👎 826  📊 3943  👍比: 79.05%  👎比: 20.95%  多數: up | 真實: up ✅
2025-03-12 → 👍 1506  👎 412  📊 1918  👍比: 78.52%  👎比: 21.48%  多數: up | 真實: down ❌
2025-03-13 → 👍 5077  👎 1314  📊 6391  👍比: 79.44%  👎比: 20.56%  多數: up | 真實: up ✅
2025-03-14 → 👍 193  👎 217  📊 410  👍比: 47.07%  👎比: 52.93%  多數: down | 真實: up ❌
2025-03-15 → 👍 4001  👎 1106  📊 5107  👍比: 78.34%  👎比: 21.66%  多數: up | 真實: down ❌
2025-03-16 → 👍 5209  👎 1431  📊 6640  👍比: 78.45%  👎比: 21.55%  多數: up | 真實: down ❌
2025-03-17 → 👍 6799  👎 1865  📊 8664  👍比: 78.47%  👎比: 21.53%  多數: up | 真實: up ✅
2025-03-18 → 👍 408  👎 105  📊 513  👍比: 79.53%  👎比: 20.47%  多數: up | 真實: down ❌
2025-03-19 → 👍 956  👎 785  📊 1741  👍比: 54.91%  👎比: 45.09%  多數: up | 真實: up ✅
2025-03-20 → 👍 2357  👎 3177  📊 5534  👍比: 42.59%  👎比: 57.41%  多數: down | 真實: down ✅
2025-03-21 → 👍 2334  👎 648  📊 2982  👍比: 78.27%  👎比: 21.73%  多數: up | 真實: up ✅
2025-03-22 → 👍 388  👎 113  📊 501  👍比: 77.45%  👎比: 22.55%  多數: up | 真實: down ❌
2025-03-23 → 👍 1701  👎 2259  📊 3960  👍比: 42.95%  👎比: 57.05%  多數: down | 真實: up ❌
2025-03-24 → 👍 448  👎 106  📊 554  👍比: 80.87%  👎比: 19.13%  多數: up | 真實: up ✅
2025-03-25 → 👍 1780  👎 470  📊 2250  👍比: 79.11%  👎比: 20.89%  多數: up | 真實: up ✅
2025-03-26 → 👍 5199  👎 1360  📊 6559  👍比: 79.27%  👎比: 20.73%  多數: up | 真實: down ❌
2025-03-27 → 👍 4804  👎 1252  📊 6056  👍比: 79.33%  👎比: 20.67%  多數: up | 真實: down ❌
2025-03-28 → 👍 4312  👎 1121  📊 5433  👍比: 79.37%  👎比: 20.63%  多數: up | 真實: up ✅
2025-03-29 → 👍 128  👎 29  📊 157  👍比: 81.53%  👎比: 18.47%  多數: up | 真實: up ✅
2025-03-31 → 👍 193  👎 257  📊 450  👍比: 42.89%  👎比: 57.11%  多數: down | 真實: up ❌
2025-04-01 → 👍 278  👎 79  📊 357  👍比: 77.87%  👎比: 22.13%  多數: up | 真實: up ✅
2025-04-02 → 👍 1271  👎 298  📊 1569  👍比: 81.01%  👎比: 18.99%  多數: up | 真實: up ✅
2025-04-03 → 👍 1073  👎 282  📊 1355  👍比: 79.19%  👎比: 20.81%  多數: up | 真實: down ❌
2025-04-04 → 👍 1295  👎 313  📊 1608  👍比: 80.53%  👎比: 19.47%  多數: up | 真實: up ✅
2025-04-05 → 👍 1098  👎 286  📊 1384  👍比: 79.34%  👎比: 20.66%  多數: up | 真實: down ❌
2025-04-06 → 👍 1435  👎 394  📊 1829  👍比: 78.46%  👎比: 21.54%  多數: up | 真實: down ❌
2025-04-07 → 👍 558  👎 165  📊 723  👍比: 77.18%  👎比: 22.82%  多數: up | 真實: down ❌
2025-04-08 → 👍 1111  👎 281  📊 1392  👍比: 79.81%  👎比: 20.19%  多數: up | 真實: down ❌
2025-04-09 → 👍 1409  👎 383  📊 1792  👍比: 78.63%  👎比: 21.37%  多數: up | 真實: up ✅
2025-04-10 → 👍 1233  👎 355  📊 1588  👍比: 77.64%  👎比: 22.36%  多數: up | 真實: down ❌
2025-04-11 → 👍 1237  👎 326  📊 1563  👍比: 79.14%  👎比: 20.86%  多數: up | 真實: up ✅
2025-04-12 → 👍 3772  👎 1005  📊 4777  👍比: 78.96%  👎比: 21.04%  多數: up | 真實: up ✅
2025-04-13 → 👍 1882  👎 511  📊 2393  👍比: 78.65%  👎比: 21.35%  多數: up | 真實: up ✅
2025-04-14 → 👍 3564  👎 984  📊 4548  👍比: 78.36%  👎比: 21.64%  多數: up | 真實: down ❌
2025-04-15 → 👍 3042  👎 855  📊 3897  👍比: 78.06%  👎比: 21.94%  多數: up | 真實: down ❌
2025-04-16 → 👍 3264  👎 906  📊 4170  👍比: 78.27%  👎比: 21.73%  多數: up | 真實: up ✅
2025-04-17 → 👍 3372  👎 912  📊 4284  👍比: 78.71%  👎比: 21.29%  多數: up | 真實: down ❌
2025-04-18 → 👍 3281  👎 928  📊 4209  👍比: 77.95%  👎比: 22.05%  多數: up | 真實: up ✅
2025-04-19 → 👍 2788  👎 792  📊 3580  👍比: 77.88%  👎比: 22.12%  多數: up | 真實: up ✅
2025-04-20 → 👍 2537  👎 697  📊 3234  👍比: 78.45%  👎比: 21.55%  多數: up | 真實: down ❌
2025-04-21 → 👍 3127  👎 835  📊 3962  👍比: 78.92%  👎比: 21.08%  多數: up | 真實: down ❌
2025-04-22 → 👍 657  👎 166  📊 823  👍比: 79.83%  👎比: 20.17%  多數: up | 真實: up ✅
2025-04-23 → 👍 4195  👎 1091  📊 5286  👍比: 79.36%  👎比: 20.64%  多數: up | 真實: up ✅
2025-04-24 → 👍 469  👎 1470  📊 1939  👍比: 24.19%  👎比: 75.81%  多數: down | 真實: up ❌
2025-04-25 → 👍 319  👎 991  📊 1310  👍比: 24.35%  👎比: 75.65%  多數: down | 真實: up ❌
2025-04-26 → 👍 96  👎 23  📊 119  👍比: 80.67%  👎比: 19.33%  多數: up | 真實: up ✅
2025-04-27 → 👍 283  👎 89  📊 372  👍比: 76.08%  👎比: 23.92%  多數: up | 真實: up ✅
2025-04-28 → 👍 799  👎 719  📊 1518  👍比: 52.64%  👎比: 47.36%  多數: up | 真實: up ✅
2025-04-29 → 👍 3123  👎 799  📊 3922  👍比: 79.63%  👎比: 20.37%  多數: up | 真實: down ❌
2025-05-01 → 👍 4742  👎 1253  📊 5995  👍比: 79.10%  👎比: 20.90%  多數: up | 真實: up ✅
2025-05-02 → 👍 2130  👎 549  📊 2679  👍比: 79.51%  👎比: 20.49%  多數: up | 真實: up ✅
2025-05-03 → 👍 2735  👎 2721  📊 5456  👍比: 50.13%  👎比: 49.87%  多數: up | 真實: down ❌
2025-05-04 → 👍 1133  👎 314  📊 1447  👍比: 78.30%  👎比: 21.70%  多數: up | 真實: up ✅
2025-05-05 → 👍 3329  👎 843  📊 4172  👍比: 79.79%  👎比: 20.21%  多數: up | 真實: up ✅
2025-05-06 → 👍 3351  👎 919  📊 4270  👍比: 78.48%  👎比: 21.52%  多數: up | 真實: up ✅
2025-05-07 → 👍 1064  👎 258  📊 1322  👍比: 80.48%  👎比: 19.52%  多數: up | 真實: up ✅
2025-05-08 → 👍 2250  👎 599  📊 2849  👍比: 78.98%  👎比: 21.02%  多數: up | 真實: up ✅
2025-05-09 → 👍 5755  👎 1525  📊 7280  👍比: 79.05%  👎比: 20.95%  多數: up | 真實: up ✅
2025-05-10 → 👍 2384  👎 610  📊 2994  👍比: 79.63%  👎比: 20.37%  多數: up | 真實: down ❌
2025-05-11 → 👍 629  👎 1947  📊 2576  👍比: 24.42%  👎比: 75.58%  多數: down | 真實: down ✅
2025-05-12 → 👍 666  👎 194  📊 860  👍比: 77.44%  👎比: 22.56%  多數: up | 真實: up ✅
2025-05-13 → 👍 759  👎 3230  📊 3989  👍比: 19.03%  👎比: 80.97%  多數: down | 真實: up ❌
2025-05-14 → 👍 153  👎 617  📊 770  👍比: 19.87%  👎比: 80.13%  多數: down | 真實: down ✅
2025-05-15 → 👍 372  👎 85  📊 457  👍比: 81.40%  👎比: 18.60%  多數: up | 真實: down ❌
2025-05-16 → 👍 488  👎 116  📊 604  👍比: 80.79%  👎比: 19.21%  多數: up | 真實: up ✅
2025-05-17 → 👍 1936  👎 507  📊 2443  👍比: 79.25%  👎比: 20.75%  多數: up | 真實: down ❌
2025-05-18 → 👍 3921  👎 1059  📊 4980  👍比: 78.73%  👎比: 21.27%  多數: up | 真實: up ✅
2025-05-19 → 👍 190  👎 43  📊 233  👍比: 81.55%  👎比: 18.45%  多數: up | 真實: down ❌
2025-05-20 → 👍 158  👎 38  📊 196  👍比: 80.61%  👎比: 19.39%  多數: up | 真實: up ✅
2025-05-21 → 👍 4583  👎 1175  📊 5758  👍比: 79.59%  👎比: 20.41%  多數: up | 真實: down ❌
2025-05-22 → 👍 1524  👎 431  📊 1955  👍比: 77.95%  👎比: 22.05%  多數: up | 真實: up ✅
2025-05-23 → 👍 572  👎 1470  📊 2042  👍比: 28.01%  👎比: 71.99%  多數: down | 真實: down ✅
2025-05-24 → 👍 3581  👎 950  📊 4531  👍比: 79.03%  👎比: 20.97%  多數: up | 真實: down ❌
2025-05-25 → 👍 1778  👎 3206  📊 4984  👍比: 35.67%  👎比: 64.33%  多數: down | 真實: down ✅
2025-05-26 → 👍 1617  👎 2869  📊 4486  👍比: 36.05%  👎比: 63.95%  多數: down | 真實: up ❌
2025-05-27 → 👍 4503  👎 1203  📊 5706  👍比: 78.92%  👎比: 21.08%  多數: up | 真實: up ✅
2025-05-28 → 👍 4545  👎 1213  📊 5758  👍比: 78.93%  👎比: 21.07%  多數: up | 真實: down ❌
2025-05-29 → 👍 6333  👎 1698  📊 8031  👍比: 78.86%  👎比: 21.14%  多數: up | 真實: down ❌
2025-05-30 → 👍 249  👎 68  📊 317  👍比: 78.55%  👎比: 21.45%  多數: up | 真實: up ✅
2025-05-31 → 👍 1617  👎 2156  📊 3773  👍比: 42.86%  👎比: 57.14%  多數: down | 真實: up ❌
2025-06-01 → 👍 3019  👎 811  📊 3830  👍比: 78.83%  👎比: 21.17%  多數: up | 真實: up ✅
2025-06-02 → 👍 4469  👎 1206  📊 5675  👍比: 78.75%  👎比: 21.25%  多數: up | 真實: down ❌
2025-06-03 → 👍 2358  👎 4132  📊 6490  👍比: 36.33%  👎比: 63.67%  多數: down | 真實: down ✅
2025-06-04 → 👍 2579  👎 683  📊 3262  👍比: 79.06%  👎比: 20.94%  多數: up | 真實: up ✅
2025-06-05 → 👍 240  👎 54  📊 294  👍比: 81.63%  👎比: 18.37%  多數: up | 真實: up ✅
2025-06-06 → 👍 1465  👎 2351  📊 3816  👍比: 38.39%  👎比: 61.61%  多數: down | 真實: up ❌
2025-06-07 → 👍 2510  👎 669  📊 3179  👍比: 78.96%  👎比: 21.04%  多數: up | 真實: down ❌
2025-06-08 → 👍 4377  👎 1135  📊 5512  👍比: 79.41%  👎比: 20.59%  多數: up | 真實: up ✅
2025-06-09 → 👍 2289  👎 3566  📊 5855  👍比: 39.09%  👎比: 60.91%  多數: down | 真實: up ❌
2025-06-10 → 👍 2199  👎 3485  📊 5684  👍比: 38.69%  👎比: 61.31%  多數: down | 真實: down ✅
2025-06-11 → 👍 4909  👎 1263  📊 6172  👍比: 79.54%  👎比: 20.46%  多數: up | 真實: up ✅
2025-06-12 → 👍 1329  👎 342  📊 1671  👍比: 79.53%  👎比: 20.47%  多數: up | 真實: up ✅
2025-06-13 → 👍 7478  👎 2047  📊 9525  👍比: 78.51%  👎比: 21.49%  多數: up | 真實: up ✅
2025-06-14 → 👍 1055  👎 282  📊 1337  👍比: 78.91%  👎比: 21.09%  多數: up | 真實: up ✅
2025-06-15 → 👍 4561  👎 1186  📊 5747  👍比: 79.36%  👎比: 20.64%  多數: up | 真實: up ✅
2025-06-16 → 👍 79  👎 17  📊 96  👍比: 82.29%  👎比: 17.71%  多數: up | 真實: up ✅
2025-06-17 → 👍 508  👎 120  📊 628  👍比: 80.89%  👎比: 19.11%  多數: up | 真實: down ❌
2025-06-18 → 👍 1136  👎 279  📊 1415  👍比: 80.28%  👎比: 19.72%  多數: up | 真實: down ❌
2025-06-19 → 👍 753  👎 1180  📊 1933  👍比: 38.95%  👎比: 61.05%  多數: down | 真實: down ✅
2025-06-20 → 👍 4244  👎 1121  📊 5365  👍比: 79.11%  👎比: 20.89%  多數: up | 真實: down ❌
2025-06-21 → 👍 4311  👎 1126  📊 5437  👍比: 79.29%  👎比: 20.71%  多數: up | 真實: up ✅
2025-06-22 → 👍 1338  👎 356  📊 1694  👍比: 78.98%  👎比: 21.02%  多數: up | 真實: up ✅
2025-06-23 → 👍 45  👎 12  📊 57  👍比: 78.95%  👎比: 21.05%  多數: up | 真實: down ❌
2025-06-24 → 👍 656  👎 173  📊 829  👍比: 79.13%  👎比: 20.87%  多數: up | 真實: down ❌
2025-06-25 → 👍 206  👎 51  📊 257  👍比: 80.16%  👎比: 19.84%  多數: up | 真實: down ❌
2025-06-26 → 👍 3140  👎 794  📊 3934  👍比: 79.82%  👎比: 20.18%  多數: up | 真實: down ❌
2025-06-27 → 👍 5647  👎 1529  📊 7176  👍比: 78.69%  👎比: 21.31%  多數: up | 真實: up ✅
2025-06-28 → 👍 3102  👎 840  📊 3942  👍比: 78.69%  👎比: 21.31%  多數: up | 真實: down ❌
2025-06-29 → 👍 781  👎 1440  📊 2221  👍比: 35.16%  👎比: 64.84%  多數: down | 真實: up ❌
2025-07-01 → 👍 8782  👎 2419  📊 11201  👍比: 78.40%  👎比: 21.60%  多數: up | 真實: up ✅
2025-07-02 → 👍 12008  👎 3167  📊 15175  👍比: 79.13%  👎比: 20.87%  多數: up | 真實: up ✅
2025-07-03 → 👍 3252  👎 848  📊 4100  👍比: 79.32%  👎比: 20.68%  多數: up | 真實: down ❌
2025-07-04 → 👍 11413  👎 3091  📊 14504  👍比: 78.69%  👎比: 21.31%  多數: up | 真實: up ✅
2025-07-05 → 👍 7297  👎 2017  📊 9314  👍比: 78.34%  👎比: 21.66%  多數: up | 真實: up ✅
2025-07-06 → 👍 3368  👎 853  📊 4221  👍比: 79.79%  👎比: 20.21%  多數: up | 真實: up ✅
2025-07-07 → 👍 588  👎 147  📊 735  👍比: 80.00%  👎比: 20.00%  多數: up | 真實: up ✅
2025-07-08 → 👍 2341  👎 636  📊 2977  👍比: 78.64%  👎比: 21.36%  多數: up | 真實: up ✅
2025-07-09 → 👍 4348  👎 1173  📊 5521  👍比: 78.75%  👎比: 21.25%  多數: up | 真實: down ❌
2025-07-10 → 👍 6524  👎 1708  📊 8232  👍比: 79.25%  👎比: 20.75%  多數: up | 真實: up ✅
2025-07-11 → 👍 8490  👎 2336  📊 10826  👍比: 78.42%  👎比: 21.58%  多數: up | 真實: down ❌
2025-07-12 → 👍 749  👎 1600  📊 2349  👍比: 31.89%  👎比: 68.11%  多數: down | 真實: down ✅
2025-07-13 → 👍 2307  👎 4176  📊 6483  👍比: 35.59%  👎比: 64.41%  多數: down | 真實: up ❌
2025-07-14 → 👍 1717  👎 441  📊 2158  👍比: 79.56%  👎比: 20.44%  多數: up | 真實: down ❌
2025-07-15 → 👍 4179  👎 1200  📊 5379  👍比: 77.69%  👎比: 22.31%  多數: up | 真實: down ❌
2025-07-16 → 👍 5814  👎 1534  📊 7348  👍比: 79.12%  👎比: 20.88%  多數: up | 真實: down ❌
2025-07-17 → 👍 2080  👎 3423  📊 5503  👍比: 37.80%  👎比: 62.20%  多數: down | 真實: down ✅
2025-07-18 → 👍 3994  👎 1151  📊 5145  👍比: 77.63%  👎比: 22.37%  多數: up | 真實: up ✅
2025-07-19 → 👍 2219  👎 2785  📊 5004  👍比: 44.34%  👎比: 55.66%  多數: down | 真實: up ❌
2025-07-20 → 👍 2533  👎 4594  📊 7127  👍比: 35.54%  👎比: 64.46%  多數: down | 真實: up ❌
2025-07-21 → 👍 4900  👎 1308  📊 6208  👍比: 78.93%  👎比: 21.07%  多數: up | 真實: up ✅
2025-07-22 → 👍 4697  👎 1189  📊 5886  👍比: 79.80%  👎比: 20.20%  多數: up | 真實: up ✅
2025-07-23 → 👍 3870  👎 1016  📊 4886  👍比: 79.21%  👎比: 20.79%  多數: up | 真實: up ✅
2025-07-25 → 👍 699  👎 173  📊 872  👍比: 80.16%  👎比: 19.84%  多數: up | 真實: up ✅
2025-07-26 → 👍 1923  👎 528  📊 2451  👍比: 78.46%  👎比: 21.54%  多數: up | 真實: down ❌
2025-07-27 → 👍 2531  👎 637  📊 3168  👍比: 79.89%  👎比: 20.11%  多數: up | 真實: up ✅
2025-07-28 → 👍 2648  👎 733  📊 3381  👍比: 78.32%  👎比: 21.68%  多數: up | 真實: down ❌
2025-07-29 → 👍 3602  👎 955  📊 4557  👍比: 79.04%  👎比: 20.96%  多數: up | 真實: up ✅
2025-07-30 → 👍 338  👎 92  📊 430  👍比: 78.60%  👎比: 21.40%  多數: up | 真實: up ✅
2025-07-31 → 👍 553  👎 152  📊 705  👍比: 78.44%  👎比: 21.56%  多數: up | 真實: up ✅

=== DOGE ===
2013-12-15 → 👍 190  👎 49  📊 239  👍比: 79.50%  👎比: 20.50%  多數: up | 真實: up ✅
2013-12-16 → 👍 398  👎 119  📊 517  👍比: 76.98%  👎比: 23.02%  多數: up | 真實: down ❌
2013-12-17 → 👍 393  👎 102  📊 495  👍比: 79.39%  👎比: 20.61%  多數: up | 真實: down ❌
2013-12-18 → 👍 490  👎 150  📊 640  👍比: 76.56%  👎比: 23.44%  多數: up | 真實: down ❌
2013-12-19 → 👍 912  👎 41  📊 953  👍比: 95.70%  👎比: 4.30%  多數: up | 真實: down ❌
2013-12-20 → 👍 641  👎 168  📊 809  👍比: 79.23%  👎比: 20.77%  多數: up | 真實: down ❌
2013-12-21 → 👍 378  👎 113  📊 491  👍比: 76.99%  👎比: 23.01%  多數: up | 真實: down ❌
2013-12-22 → 👍 500  👎 120  📊 620  👍比: 80.65%  👎比: 19.35%  多數: up | 真實: down ❌
2013-12-23 → 👍 692  👎 30  📊 722  👍比: 95.84%  👎比: 4.16%  多數: up | 真實: up ✅
2013-12-24 → 👍 283  👎 83  📊 366  👍比: 77.32%  👎比: 22.68%  多數: up | 真實: up ✅
2013-12-25 → 👍 243  👎 64  📊 307  👍比: 79.15%  👎比: 20.85%  多數: up | 真實: up ✅
2013-12-26 → 👍 1551  👎 392  📊 1943  👍比: 79.83%  👎比: 20.17%  多數: up | 真實: down ❌
2013-12-27 → 👍 667  👎 171  📊 838  👍比: 79.59%  👎比: 20.41%  多數: up | 真實: down ❌
2013-12-28 → 👍 334  👎 79  📊 413  👍比: 80.87%  👎比: 19.13%  多數: up | 真實: down ❌
2013-12-29 → 👍 390  👎 103  📊 493  👍比: 79.11%  👎比: 20.89%  多數: up | 真實: up ✅
2013-12-30 → 👍 320  👎 87  📊 407  👍比: 78.62%  👎比: 21.38%  多數: up | 真實: up ✅
2013-12-31 → 👍 246  👎 12  📊 258  👍比: 95.35%  👎比: 4.65%  多數: up | 真實: down ❌
2014-01-01 → 👍 240  👎 13  📊 253  👍比: 94.86%  👎比: 5.14%  多數: up | 真實: down ❌
2014-01-02 → 👍 362  👎 102  📊 464  👍比: 78.02%  👎比: 21.98%  多數: up | 真實: down ❌
2014-01-03 → 👍 346  👎 80  📊 426  👍比: 81.22%  👎比: 18.78%  多數: up | 真實: up ✅
2014-01-04 → 👍 201  👎 60  📊 261  👍比: 77.01%  👎比: 22.99%  多數: up | 真實: down ❌
2014-01-05 → 👍 157  👎 48  📊 205  👍比: 76.59%  👎比: 23.41%  多數: up | 真實: down ❌
2014-01-06 → 👍 197  👎 51  📊 248  👍比: 79.44%  👎比: 20.56%  多數: up | 真實: down ❌
2014-01-07 → 👍 179  👎 43  📊 222  👍比: 80.63%  👎比: 19.37%  多數: up | 真實: down ❌
2014-01-08 → 👍 181  👎 48  📊 229  👍比: 79.04%  👎比: 20.96%  多數: up | 真實: down ❌
2014-01-09 → 👍 190  👎 53  📊 243  👍比: 78.19%  👎比: 21.81%  多數: up | 真實: down ❌
2014-01-10 → 👍 225  👎 15  📊 240  👍比: 93.75%  👎比: 6.25%  多數: up | 真實: up ✅
2014-01-11 → 👍 191  👎 56  📊 247  👍比: 77.33%  👎比: 22.67%  多數: up | 真實: down ❌
2014-01-12 → 👍 142  👎 38  📊 180  👍比: 78.89%  👎比: 21.11%  多數: up | 真實: down ❌
2014-01-13 → 👍 161  👎 52  📊 213  👍比: 75.59%  👎比: 24.41%  多數: up | 真實: down ❌
2014-01-14 → 👍 399  👎 117  📊 516  👍比: 77.33%  👎比: 22.67%  多數: up | 真實: down ❌
2014-01-15 → 👍 414  👎 120  📊 534  👍比: 77.53%  👎比: 22.47%  多數: up | 真實: up ✅
2014-01-16 → 👍 229  👎 66  📊 295  👍比: 77.63%  👎比: 22.37%  多數: up | 真實: down ❌
2014-01-17 → 👍 330  👎 110  📊 440  👍比: 75.00%  👎比: 25.00%  多數: up | 真實: down ❌
2014-01-18 → 👍 370  👎 23  📊 393  👍比: 94.15%  👎比: 5.85%  多數: up | 真實: up ✅
2014-01-19 → 👍 431  👎 30  📊 461  👍比: 93.49%  👎比: 6.51%  多數: up | 真實: up ✅
2014-01-20 → 👍 1711  👎 456  📊 2167  👍比: 78.96%  👎比: 21.04%  多數: up | 真實: up ✅
2014-01-21 → 👍 1432  👎 71  📊 1503  👍比: 95.28%  👎比: 4.72%  多數: up | 真實: down ❌
2014-01-22 → 👍 599  👎 163  📊 762  👍比: 78.61%  👎比: 21.39%  多數: up | 真實: up ✅
2014-01-23 → 👍 522  👎 122  📊 644  👍比: 81.06%  👎比: 18.94%  多數: up | 真實: up ✅
2014-01-24 → 👍 616  👎 160  📊 776  👍比: 79.38%  👎比: 20.62%  多數: up | 真實: up ✅
2014-01-25 → 👍 309  👎 76  📊 385  👍比: 80.26%  👎比: 19.74%  多數: up | 真實: up ✅
2014-01-26 → 👍 96  👎 17  📊 113  👍比: 84.96%  👎比: 15.04%  多數: up | 真實: up ✅
2014-01-27 → 👍 21  👎 6  📊 27  👍比: 77.78%  👎比: 22.22%  多數: up | 真實: down ❌
2014-01-28 → 👍 122  👎 41  📊 163  👍比: 74.85%  👎比: 25.15%  多數: up | 真實: up ✅
2014-01-29 → 👍 44  👎 20  📊 64  👍比: 68.75%  👎比: 31.25%  多數: up | 真實: up ✅
2014-01-30 → 👍 21  👎 7  📊 28  👍比: 75.00%  👎比: 25.00%  多數: up | 真實: down ❌
2014-01-31 → 👍 34  👎 9  📊 43  👍比: 79.07%  👎比: 20.93%  多數: up | 真實: down ❌
2014-02-01 → 👍 1026  👎 275  📊 1301  👍比: 78.86%  👎比: 21.14%  多數: up | 真實: up ✅
2014-02-02 → 👍 599  👎 155  📊 754  👍比: 79.44%  👎比: 20.56%  多數: up | 真實: down ❌
2014-02-03 → 👍 667  👎 38  📊 705  👍比: 94.61%  👎比: 5.39%  多數: up | 真實: down ❌
2014-02-04 → 👍 712  👎 193  📊 905  👍比: 78.67%  👎比: 21.33%  多數: up | 真實: down ❌
2014-02-05 → 👍 632  👎 165  📊 797  👍比: 79.30%  👎比: 20.70%  多數: up | 真實: up ✅
2014-02-06 → 👍 585  👎 149  📊 734  👍比: 79.70%  👎比: 20.30%  多數: up | 真實: down ❌
2014-02-07 → 👍 969  👎 40  📊 1009  👍比: 96.04%  👎比: 3.96%  多數: up | 真實: up ✅
2014-02-08 → 👍 526  👎 140  📊 666  👍比: 78.98%  👎比: 21.02%  多數: up | 真實: up ✅
2014-02-09 → 👍 502  👎 104  📊 606  👍比: 82.84%  👎比: 17.16%  多數: up | 真實: up ✅
