✅ DOGE_20190315_normal.json → 完成分類：👍 186 | 😐 132 | 👎 45
✅ DOGE_20190426_normal.json → 完成分類：👍 108 | 😐 122 | 👎 16
✅ DOGE_20190427_normal.json → 完成分類：👍 111 | 😐 104 | 👎 11
✅ DOGE_20190428_normal.json → 完成分類：👍 96 | 😐 124 | 👎 17
✅ DOGE_20190429_normal.json → 完成分類：👍 130 | 😐 117 | 👎 15
✅ DOGE_20190430_normal.json → 完成分類：👍 145 | 😐 263 | 👎 26

✅ DOGE_20200101_normal.json → 完成分類：👍 49 | 😐 72 | 👎 9
✅ DOGE_20200102_Latest32_normal.json → 完成分類：👍 13 | 😐 17 | 👎 2
✅ DOGE_20200103_normal.json → 完成分類：👍 63 | 😐 105 | 👎 7
✅ DOGE_20200104_normal.json → 完成分類：👍 65 | 😐 167 | 👎 20
✅ DOGE_20200105_normal.json → 完成分類：👍 65 | 😐 149 | 👎 26
✅ DOGE_20200106_normal.json → 完成分類：👍 72 | 😐 196 | 👎 22
✅ DOGE_20200107_normal.json → 完成分類：👍 49 | 😐 134 | 👎 18
✅ DOGE_20200108_normal.json → 完成分類：👍 66 | 😐 149 | 👎 16
✅ DOGE_20200109_normal.json → 完成分類：👍 59 | 😐 151 | 👎 23
✅ DOGE_20200110_normal.json → 完成分類：👍 74 | 😐 205 | 👎 19
✅ DOGE_20200111_normal.json → 完成分類：👍 44 | 😐 100 | 👎 18
✅ DOGE_20200112_normal.json → 完成分類：👍 45 | 😐 116 | 👎 10
✅ DOGE_20200113_normal.json → 完成分類：👍 67 | 😐 110 | 👎 19
✅ DOGE_20200114_normal.json → 完成分類：👍 58 | 😐 134 | 👎 14
✅ DOGE_20200115_normal.json → 完成分類：👍 58 | 😐 122 | 👎 11
✅ DOGE_20200116_normal.json → 完成分類：👍 46 | 😐 103 | 👎 10
✅ DOGE_20200117_normal.json → 完成分類：👍 72 | 😐 164 | 👎 15
✅ DOGE_20200118_normal.json → 完成分類：👍 79 | 😐 183 | 👎 11
✅ DOGE_20200119_normal.json → 完成分類：👍 68 | 😐 137 | 👎 11
✅ DOGE_20200120_normal.json → 完成分類：👍 55 | 😐 137 | 👎 7
✅ DOGE_20200121_normal.json → 完成分類：👍 60 | 😐 107 | 👎 13
✅ DOGE_20200122_normal.json → 完成分類：👍 56 | 😐 90 | 👎 11
✅ DOGE_20200123_normal.json → 完成分類：👍 67 | 😐 113 | 👎 9
✅ DOGE_20200124_normal.json → 完成分類：👍 71 | 😐 90 | 👎 16
✅ DOGE_20200125_normal.json → 完成分類：👍 66 | 😐 90 | 👎 17
✅ DOGE_20200126_normal.json → 完成分類：👍 47 | 😐 98 | 👎 5
✅ DOGE_20200127_normal.json → 完成分類：👍 36 | 😐 99 | 👎 4
✅ DOGE_20200128_normal.json → 完成分類：👍 61 | 😐 127 | 👎 8
✅ DOGE_20200129_normal.json → 完成分類：👍 69 | 😐 131 | 👎 13
✅ DOGE_20200130_normal.json → 完成分類：👍 41 | 😐 110 | 👎 12
✅ DOGE_20200131_normal.json → 完成分類：👍 58 | 😐 112 | 👎 8

✅ DOGE_20200201_normal.json → 完成分類：👍 49 | 😐 114 | 👎 8
✅ DOGE_20200202_normal.json → 完成分類：👍 53 | 😐 117 | 👎 10
✅ DOGE_20200203_normal.json → 完成分類：👍 59 | 😐 113 | 👎 8
✅ DOGE_20200204_normal.json → 完成分類：👍 53 | 😐 152 | 👎 18
✅ DOGE_20200205_Latest133_normal.json → 完成分類：👍 33 | 😐 78 | 👎 11
✅ DOGE_20200206_normal.json → 完成分類：👍 71 | 😐 134 | 👎 15
✅ DOGE_20200207_Latest7_normal.json → 完成分類：👍 2 | 😐 4 | 👎 0
✅ DOGE_20200208_normal.json → 完成分類：👍 201 | 😐 346 | 👎 43
✅ DOGE_20200209_normal.json → 完成分類：👍 154 | 😐 237 | 👎 43
✅ DOGE_20200210_normal.json → 完成分類：👍 111 | 😐 201 | 👎 28
✅ DOGE_20200211_normal.json → 完成分類：👍 67 | 😐 134 | 👎 19
✅ DOGE_20200212_normal.json → 完成分類：👍 99 | 😐 157 | 👎 18
✅ DOGE_20200213_normal.json → 完成分類：👍 86 | 😐 134 | 👎 19
✅ DOGE_20200214_normal.json → 完成分類：👍 74 | 😐 113 | 👎 24
✅ DOGE_20200215_normal.json → 完成分類：👍 67 | 😐 134 | 👎 16
✅ DOGE_20200216_normal.json → 完成分類：👍 69 | 😐 106 | 👎 11
✅ DOGE_20200217_normal.json → 完成分類：👍 71 | 😐 101 | 👎 7
✅ DOGE_20200218_normal.json → 完成分類：👍 107 | 😐 129 | 👎 17
✅ DOGE_20200219_normal.json → 完成分類：👍 65 | 😐 87 | 👎 14
✅ DOGE_20200220_normal.json → 完成分類：👍 52 | 😐 85 | 👎 21
✅ DOGE_20200221_normal.json → 完成分類：👍 76 | 😐 110 | 👎 12
✅ DOGE_20200222_Latest137_normal.json → 完成分類：👍 30 | 😐 81 | 👎 8
✅ DOGE_20200223_normal.json → 完成分類：👍 69 | 😐 88 | 👎 5
✅ DOGE_20200224_normal.json → 完成分類：👍 99 | 😐 91 | 👎 12
✅ DOGE_20200225_normal.json → 完成分類：👍 55 | 😐 97 | 👎 10
✅ DOGE_20200226_normal.json → 完成分類：👍 72 | 😐 88 | 👎 13
✅ DOGE_20200227_normal.json → 完成分類：👍 84 | 😐 86 | 👎 16
✅ DOGE_20200228_normal.json → 完成分類：👍 45 | 😐 76 | 👎 8
✅ DOGE_20200229_normal.json → 完成分類：👍 62 | 😐 76 | 👎 14

✅ DOGE_20200301_normal.json → 完成分類：👍 65 | 😐 77 | 👎 20
✅ DOGE_20200302_normal.json → 完成分類：👍 77 | 😐 66 | 👎 15
✅ DOGE_20200303_normal.json → 完成分類：👍 241 | 😐 217 | 👎 49
✅ DOGE_20200304_normal.json → 完成分類：👍 145 | 😐 155 | 👎 37
✅ DOGE_20200305_normal.json → 完成分類：👍 97 | 😐 84 | 👎 30
✅ DOGE_20200306_normal.json → 完成分類：👍 71 | 😐 74 | 👎 21
✅ DOGE_20200307_normal.json → 完成分類：👍 57 | 😐 73 | 👎 26
✅ DOGE_20200308_normal.json → 完成分類：👍 94 | 😐 55 | 👎 14
✅ DOGE_20200309_normal.json → 完成分類：👍 78 | 😐 94 | 👎 22
✅ DOGE_20200310_normal.json → 完成分類：👍 59 | 😐 82 | 👎 22
✅ DOGE_20200311_normal.json → 完成分類：👍 45 | 😐 77 | 👎 13
✅ DOGE_20200312_normal.json → 完成分類：👍 128 | 😐 118 | 👎 36
✅ DOGE_20200313_normal.json → 完成分類：👍 93 | 😐 86 | 👎 18
✅ DOGE_20200314_normal.json → 完成分類：👍 52 | 😐 74 | 👎 18
✅ DOGE_20200315_normal.json → 完成分類：👍 40 | 😐 68 | 👎 15
✅ DOGE_20200316_normal.json → 完成分類：👍 52 | 😐 71 | 👎 21
✅ DOGE_20200317_normal.json → 完成分類：👍 44 | 😐 102 | 👎 14
✅ DOGE_20200318_normal.json → 完成分類：👍 41 | 😐 60 | 👎 18
✅ DOGE_20200319_normal.json → 完成分類：👍 76 | 😐 99 | 👎 23
✅ DOGE_20200320_normal.json → 完成分類：👍 54 | 😐 77 | 👎 16
✅ DOGE_20200321_normal.json → 完成分類：👍 36 | 😐 62 | 👎 4
✅ DOGE_20200322_normal.json → 完成分類：👍 47 | 😐 79 | 👎 14
✅ DOGE_20200323_normal.json → 完成分類：👍 66 | 😐 72 | 👎 14
✅ DOGE_20200324_normal.json → 完成分類：👍 49 | 😐 75 | 👎 7
✅ DOGE_20200325_normal.json → 完成分類：👍 46 | 😐 76 | 👎 18
✅ DOGE_20200326_normal.json → 完成分類：👍 52 | 😐 72 | 👎 20
✅ DOGE_20200327_normal.json → 完成分類：👍 51 | 😐 75 | 👎 16
✅ DOGE_20200328_normal.json → 完成分類：👍 43 | 😐 52 | 👎 5
✅ DOGE_20200329_normal.json → 完成分類：👍 61 | 😐 70 | 👎 14
✅ DOGE_20200330_normal.json → 完成分類：👍 62 | 😐 114 | 👎 11
✅ DOGE_20200331_Latest4_normal.json → 完成分類：👍 2 | 😐 1 | 👎 0

✅ DOGE_20200401_normal.json → 完成分類：👍 135 | 😐 82 | 👎 15
✅ DOGE_20200402_normal.json → 完成分類：👍 71 | 😐 85 | 👎 13
✅ DOGE_20200403_normal.json → 完成分類：👍 53 | 😐 59 | 👎 17
✅ DOGE_20200404_normal.json → 完成分類：👍 53 | 😐 76 | 👎 21
✅ DOGE_20200405_normal.json → 完成分類：👍 34 | 😐 68 | 👎 10
✅ DOGE_20200406_normal.json → 完成分類：👍 64 | 😐 66 | 👎 10
✅ DOGE_20200407_normal.json → 完成分類：👍 63 | 😐 89 | 👎 18
✅ DOGE_20200408_normal.json → 完成分類：👍 43 | 😐 67 | 👎 12
✅ DOGE_20200409_normal.json → 完成分類：👍 47 | 😐 68 | 👎 10
✅ DOGE_20200410_normal.json → 完成分類：👍 55 | 😐 79 | 👎 17
✅ DOGE_20200411_normal.json → 完成分類：👍 46 | 😐 88 | 👎 20
✅ DOGE_20200412_normal.json → 完成分類：👍 38 | 😐 81 | 👎 16
✅ DOGE_20200413_normal.json → 完成分類：👍 49 | 😐 73 | 👎 11
✅ DOGE_20200414_normal.json → 完成分類：👍 81 | 😐 79 | 👎 21
✅ DOGE_20200415_normal.json → 完成分類：👍 55 | 😐 69 | 👎 11
✅ DOGE_20200416_normal.json → 完成分類：👍 51 | 😐 87 | 👎 12
✅ DOGE_20200417_normal.json → 完成分類：👍 53 | 😐 75 | 👎 18
✅ DOGE_20200418_normal.json → 完成分類：👍 34 | 😐 83 | 👎 12
✅ DOGE_20200419_normal.json → 完成分類：👍 39 | 😐 74 | 👎 12
✅ DOGE_20200420_normal.json → 完成分類：👍 62 | 😐 101 | 👎 23
✅ DOGE_20200421_normal.json → 完成分類：👍 54 | 😐 92 | 👎 14
✅ DOGE_20200422_normal.json → 完成分類：👍 67 | 😐 79 | 👎 7
✅ DOGE_20200423_normal.json → 完成分類：👍 71 | 😐 76 | 👎 12
✅ DOGE_20200424_normal.json → 完成分類：👍 39 | 😐 81 | 👎 4
✅ DOGE_20200425_normal.json → 完成分類：👍 53 | 😐 95 | 👎 28
✅ DOGE_20200426_normal.json → 完成分類：👍 135 | 😐 191 | 👎 31
✅ DOGE_20200427_normal.json → 完成分類：👍 92 | 😐 160 | 👎 24
✅ DOGE_20200428_normal.json → 完成分類：👍 63 | 😐 95 | 👎 22
✅ DOGE_20200429_normal.json → 完成分類：👍 61 | 😐 112 | 👎 30
✅ DOGE_20200430_normal.json → 完成分類：👍 71 | 😐 117 | 👎 17

✅ DOGE_20210315_Latest4405_normal.json → 完成分類：👍 1480 | 😐 1626 | 👎 349
✅ DOGE_20210316_Latest4044_normal.json → 完成分類：👍 1381 | 😐 1348 | 👎 308
✅ DOGE_20210317_Latest4338_normal.json → 完成分類：👍 1353 | 😐 1516 | 👎 354
✅ DOGE_20210318_normal.json → 完成分類：👍 1752 | 😐 2173 | 👎 473
✅ DOGE_20210319_normal.json → 完成分類：👍 1750 | 😐 1901 | 👎 416
✅ DOGE_20210320_normal.json → 完成分類：👍 1555 | 😐 1932 | 👎 398
✅ DOGE_20210321_normal.json → 完成分類：👍 1339 | 😐 1446 | 👎 337
✅ DOGE_20210322_normal.json → 完成分類：👍 1659 | 😐 1487 | 👎 335
✅ DOGE_20210323_normal.json → 完成分類：👍 2042 | 😐 1521 | 👎 336
✅ DOGE_20210324_normal.json → 完成分類：👍 1827 | 😐 2522 | 👎 454
✅ DOGE_20210325_normal.json → 完成分類：👍 1540 | 😐 1847 | 👎 471
✅ DOGE_20210326_normal.json → 完成分類：👍 1293 | 😐 1404 | 👎 275
✅ DOGE_20210327_normal.json → 完成分類：👍 1013 | 😐 1211 | 👎 238
✅ DOGE_20210328_normal.json → 完成分類：👍 1051 | 😐 1249 | 👎 276
✅ DOGE_20210329_normal.json → 完成分類：👍 1084 | 😐 1255 | 👎 240
✅ DOGE_20210330_normal.json → 完成分類：👍 1260 | 😐 1477 | 👎 313
✅ DOGE_20210331_normal.json → 完成分類：👍 1100 | 😐 1277 | 👎 257

✅ DOGE_20210501_normal.json → 完成分類：👍 2854 | 😐 4001 | 👎 740
✅ DOGE_20210502_normal.json → 完成分類：👍 3909 | 😐 4530 | 👎 1029
✅ DOGE_20210503_normal.json → 完成分類：👍 7209 | 😐 8982 | 👎 1898
✅ DOGE_20210504_Latest50001_max_normal.json → 完成分類：👍 13710 | 😐 19800 | 👎 5654
✅ DOGE_20210505_Latest24076_keyboard_normal.json → 完成分類：👍 7272 | 😐 8046 | 👎 2652
✅ DOGE_20210506_Latest15060_http_normal.json → 完成分類：👍 4904 | 😐 4884 | 👎 1296
✅ DOGE_20210507_Latest23920_normal.json → 完成分類：👍 6963 | 😐 9077 | 👎 2245
✅ DOGE_20210508_Latest31173_normal.json → 完成分類：👍 9530 | 😐 10689 | 👎 3551
✅ DOGE_20210509_normal.json → 完成分類：👍 26553 | 😐 29387 | 👎 13789
✅ DOGE_20210510_Latest23093_twice_normal.json → 完成分類：👍 6991 | 😐 7217 | 👎 3123
✅ DOGE_20210511_normal.json → 完成分類：👍 15599 | 😐 12690 | 👎 4471
✅ DOGE_20210512_normal.json → 完成分類：👍 16630 | 😐 12107 | 👎 3792
✅ DOGE_20210513_Latest19119_normal.json → 完成分類：👍 5895 | 😐 6784 | 👎 2270
✅ DOGE_20210514_Latest14932_normal.json → 完成分類：👍 4828 | 😐 4785 | 👎 1467
✅ DOGE_20210515_normal.json → 完成分類：👍 9101 | 😐 8154 | 👎 2192
✅ DOGE_20210516_normal.json → 完成分類：👍 19265 | 😐 11722 | 👎 4051
✅ DOGE_20210517_normal.json → 完成分類：👍 18555 | 😐 9806 | 👎 3354
✅ DOGE_20210518_normal.json → 完成分類：👍 8353 | 😐 7396 | 👎 2101
✅ DOGE_20210519_normal.json → 完成分類：👍 9905 | 😐 10330 | 👎 4280
✅ DOGE_20210520_normal.json → 完成分類：👍 9499 | 😐 8756 | 👎 2570
✅ DOGE_20210521_normal.json → 完成分類：👍 6718 | 😐 6158 | 👎 1824
✅ DOGE_20210522_Latest3876_normal.json → 完成分類：👍 1311 | 😐 1239 | 👎 390
✅ DOGE_20210523_normal.json → 完成分類：👍 5463 | 😐 5280 | 👎 2032
✅ DOGE_20210524_Latest20257_normal.json → 完成分類：👍 7122 | 😐 6895 | 👎 2520
✅ DOGE_20210525_normal.json → 完成分類：👍 15949 | 😐 11614 | 👎 2554
✅ DOGE_20210526_normal.json → 完成分類：👍 7809 | 😐 5332 | 👎 1410
✅ DOGE_20210527_Latest21730_keyboard_normal.json → 完成分類：👍 10426 | 😐 6728 | 👎 1071
✅ DOGE_20210528_normal.json → 完成分類：👍 4198 | 😐 3934 | 👎 1088
✅ DOGE_20210529_normal.json → 完成分類：👍 3317 | 😐 3649 | 👎 1038
✅ DOGE_20210530_normal.json → 完成分類：👍 3398 | 😐 3290 | 👎 939
✅ DOGE_20210531_normal.json → 完成分類：👍 3462 | 😐 3597 | 👎 923
